[00:06] 然后我们这里可以看一下DeepSeek R1的paper
[00:09] 它的标题叫做
[00:10] Incentivizing reasoning capability in LIMs while reinforcing learning
[00:14] 叫做通过强化学习的方式
[00:16] 激励语言模型激发它的推理能力
[00:19] 这个地方有个非常有意思的词
[00:21] 叫做Incentivizing
[00:22] 这个词其实业内人是大概也谈论了很多
[00:24] 它其实是有一些
[00:25] 之前有一些小故事的
[00:27] 就是之前OpenID的一个研究员叫做Hong Yu
[00:29] 他在MIT有个演讲
[00:31] 演讲的标题叫做Don't teach, incentivize
[00:33] 不要教模型怎么做
[00:35] 而是鼓励它
[00:36] 然后他在这里模型自己输出了
[00:44] Wait, wait, there's an aha moment, I can fly here
[00:46] 等一下这里有一个aha时刻
[00:48] 我可以看一看
[00:50] 然后接下来他就说
[00:51] 让我们来重新检验一下这部对不对
[00:54] 然后他重新验算了这个式子
[00:56] 发现有个地方有问题
[00:57] 最后解决问题
[00:59] 然后这里面之所以有意思
[01:01] 是因为这样子的aha
[01:03] 模型这样子的自纠错能力
[01:05] 这样子的等一等
[01:06] 这里有一个aha moment
[01:07] 我可以也看一看
[01:09] 然后同时一步步验证
[01:10] 自己的结果
[01:11] 这样子的能力并不是
[01:13] 由DeepSeek的研究员
[01:14] 他们自己写入模型内的
[01:16] 而是模型自己涌现出来的能力
[01:22] 模型自己最终达到了superhuman能力
[01:25] 这样能力包括中间有一些
[01:27] 所谓就围棋中的那样神之一手之类的
[01:30] 就是是人类开发者是没有想过的
[01:33] 预料之外的情况
[01:34] 同时是极其复杂的一种就是行为模式
[01:37] 这也就是强化学习的一种美吧
[01:42] 模型可能训练的成本
[01:44] 如果优化的足够好的话
[01:45] 可能就十万美金
[01:46] 就够了
[01:46] 如果说收获天恩可能最多最多也就一百万美金
[01:51] 相对之下他们的预设人员用了六百万美金
[01:57] 所以优美的算法或者优美的技术
[02:00] 往往是最简单干净的技术是吗
[02:10] Hello 大家好
[02:11] 欢迎收听张小军商业访谈录
[02:14] 我是小骏
[02:15] 这是一档提供一手高密度信息的商业访谈节目
[02:19] 首先祝大家二零二五春节快乐
[02:21] 在刚刚过去的这个春节呢
[02:23] DeepSeek一举改写了全球AGI的大叙事
[02:27] 那在万般热闹之际啊
[02:28] 我们特别想沉下来做一些基础的科普工作
[02:32] 一起来研读这几篇关键的技术报告
[02:35] 今天这期节目呢
[02:36] 我要请的是加州大学伯克利分校人工智能实验室的
[02:40] 在读博士潘嘉怡来做一个技术解读
[02:43] 她的研究方向集中在语言模型的后训练
[02:47] 那这期播客呢
[02:48] 嘉怡将带着大家一起来读春节前DeepSeek发布的那篇关键的技术报告
[02:54] 她在报告里发布了两个模型
[02:56] 分别是DeepSeek R1.0和R1
[02:59] 并且对照讲解最近Kimi发布的K1.5模型的技术报告
[03:04] 以及OpenAI更早之前发布的O1的blog post
[03:08] 当然也会聊到她春节紧急发布的O3 Mini
[03:11] 这几个模型都聚焦的是目前大模型最新的技术范式RL强化学习
[03:18] 那希望我们的节目能帮助更多人一起读懂这几篇论文
[03:22] 感受算法之美
[03:24] 并且准确地理解目前的技术
[03:26] 技术拐点
[03:28] 期待2025我们和AI共同进步
[03:44] 嘉怡先给听众朋友们打个招呼
[03:47] 你也可以介绍一下你的研究方向
[03:49] 还有你在对R1.0上附线上做的一些尝试
[03:53] 好呀
[03:54] 谢谢小军的邀请
[03:56] 大家好
[03:56] 我是潘嘉怡
[03:57] 我是加州伯克利大学人工智能实验室的一名博士生
[04:01] 我现在自己主要的工作集中在于用语言模型强化学习的方式做智能体和推理的后训练
[04:08] 我主要关注的方向可能会说是人工智能实验室的一名博士生
[04:08] 我主要关注的方向可能会说是人工智能实验室的一名博士生
[04:10] 怎么用强化学习等后训练技巧让AI学会写复杂代码
[04:14] 控制电脑完成各种通用的任务
[04:16] 然后在R1发布之后的话
[04:18] 我和合作者都对这个技术非常的兴奋
[04:20] 然后刚好手里有一些相关的项目
[04:23] 也对这些代码比较熟悉
[04:24] 花了几个小时
[04:25] 然后发布了就是现在大家看到TinyZero项目
[04:29] 算是全网第一个对R1.0的小规模附现
[04:32] 然后同时进行了一系列早期的消融实验
[04:35] 在这个工作里面
[04:36] 我们觉得可能最有意思的一个点是说
[04:38] 我们发现在一些简单的任务上
[04:41] 在这里我们的任务是24点的一个通用版
[04:43] 大概意思是说你有几个数字
[04:45] 然后你的目标是用它组合
[04:47] 用加减乘除以及括号组合出一个算式
[04:50] 让它能最后等于一个目标数字
[04:52] 在这样的任务上面
[04:53] 就算是一个3B的这种非常小手机都能跑的模型
[04:56] 在通过强化学习后
[04:58] 也可以自然发展出自我纠错搜索的能力
[05:00] 然后我们会希望这样的工作能让大家
[05:02] 以更低的成本来快速的就是迭代
[05:05] 研究出这样子的功能
[05:06] 一个新技术路线到底是怎么做的
[05:09] 以及未来该怎么发展
[05:11] 你们就花了几个小时就实现了小规模的复现吗
[05:14] 对的对的
[05:15] 这个当时对那天晚上就是我自己玩的比较激动
[05:19] 然后大概是一个晚上就把早期的实验全都做完了
[05:22] 那今天我们这个节目的形式
[05:25] 希望稍微发生一些变化
[05:27] 我想请嘉义来主讲这几篇关键的技术报告
[05:30] 他会带着我们读一遍
[05:31] 那中间如果我遇到不懂或者有疑惑的地方
[05:34] 我会作为观众视角来提问
[05:36] 提问过程中
[05:36] 这个过程可能在中间也可能在最后
[05:39] 主要的目的还是希望帮助大家一起来共同理解这几篇技术报告
[05:43] 包括其中的真正的突破点
[05:45] 然后以及几篇报告之中相似处不同之处
[05:49] 还有如果复现的话可能会遇到的一些困难或者陷阱
[05:53] 那在正式开始之前我还是先问嘉义几个问题
[05:56] 第一个问题是很多人说DeepSeek一举改写了全球AGI的宏观
[06:00] 确实你认同吗
[06:01] 在你看来DeepSeek R10和R1这两个模型
[06:04] 对于AGI路线图或者是AGI路线图
[06:06] 大国的科技叙事它的标志性意义是什么
[06:09] 我觉得这很好问题
[06:12] 我个人可能更多是做这些研究
[06:14] 然后对这些宏观的叙事没有足够多了解
[06:16] 能发表非常好的评论
[06:17] 但是我觉得有几点是一定成立的
[06:20] 一个是DeepSeek最近的工作
[06:22] 一定是让美国的这些大厂再重新反思自己的模型的
[06:26] 不管是模型的训练效率还是自己的创新能力之类的
[06:29] 他们会发现自己可能并没有想象那么领先
[06:32] 同时现在在深度求索
[06:34] 在海外一系列爆火之后
[06:36] 现在美国也开始正视中国的AI创新能力
[06:39] 而不像之前只觉得是在一步步的差了一两年时间的模仿
[06:45] 然后同时的话
[06:46] 像对于R1Zero以及R1这两个模型的话
[06:49] 它主要的标志意义应该是说
[06:51] 从欧万发布之后到现在
[06:53] 大家终于知道就是用强化学习来可拓展的
[06:56] 提高语言模型能力的整个技术路线的秘密
[06:59] 然后所以说在未来的话
[07:01] 可能说不管是模型的推理能力
[07:03] 还是作为智能体之类的能力一定会快速提高
[07:06] 我还挺好奇你周围有什么比较有意思的讨论或者Feedback吗
[07:12] 我觉得大家可能就是包括是跟一些
[07:14] 就是像Google Demand以及OpenAI的一些研究员聊的话
[07:17] 我发现就是大家都对
[07:19] 就是DeepSeek的最近的创新能力也好
[07:22] 包括是以这么低的成本
[07:24] 就是产出了这么漂亮的工作也好的能力都非常的惊讶
[07:27] 然后对于R1的话
[07:28] 倒是就是大家都觉得这个方向非常漂亮
[07:31] 而且就是算法也非常干净
[07:33] 然后很多人可能就后续会想要转
[07:36] 比如说有朋友之前是做就是视觉语言模型的预训练的
[07:40] 然后现在可能就想转型到就是做这种视觉语言模型的推理之类的
[07:43] 就是这会是一个全新的领域
[07:45] 可能就像一两年前的ChatGPT刚出来时的ROHF一样
[07:48] 后面肯定会有很多人进入这个领域
[07:51] 然后拓宽它进行相关的研究
[07:54] 这很有意思
[07:55] 这个变化不是在O1出来发生的
[07:57] 是在DeepSeek R1推出来发生的是吗
[07:59] 对我觉得是的
[08:01] 就是O1出来之后显然有些已经在这个领域的研究员
[08:04] 已经在做推理的研究员
[08:06] 进行相关的就是探索是
[08:07] 但是我觉得可能是
[08:09] 对我觉得这是很有意思的现象
[08:11] 可能更多的人就是还是会在整个趋势非常明了之后
[08:14] 才会做这种大的抉择
[08:16] 所以说像R1出来之后
[08:17] 你也可以看到就是说R1出来之后
