[00:03] Kimi和DeepSick
[00:05] 它发的这两篇叫做
[00:07] 动态吸收注意力
[00:08] Dynamic Space Attention
[00:10] 他们这个就是可以用来解决
[00:13] 这种常温本的开销的问题
[00:16] 然后像MiniMax的话
[00:19] 他们就是采用了另外一种方案
[00:22] 一种叫做混合模型的一种方式
[00:25] 不太好说
[00:29] 但我确实被那个Lative Space Attention
[00:31] 它甚至比Full Attention要好这一点
[00:34] 吸引住了
[00:35] 可能我之后也会做一些
[00:37] 这种Dynamic Space Attention方面的研究
[00:40] 像DeepSick
[00:44] 它就是比较少见的
[00:46] 就是非常坚持自己做架构创新的
[00:50] 这一点非常可贵
[00:51] 因为很多公司我感觉
[00:53] 都是排斥来做架构创新的
[00:58] 因为他们可能就觉得
[01:00] 堆Data就行了
[01:02] 我们为什么要冒险来做架构创新这件事
[01:05] 做架构创新
[01:07] 它是一个风险与机遇并存的
[01:11] Hello 大家好
[01:19] 欢迎收听张小俊商业访谈录
[01:22] 我是小俊
[01:22] 这是一档提供一手高密度信息的商业访谈节目
[01:26] 今天这期节目延续了我们的论文系列
[01:30] 我要请MIT计算机科学与人工智能实验室的
[01:34] 再度博士生松林
[01:36] 来给大家解读上个星期
[01:38] DeepSick和Kimi刚刚发布的全新的技术报告
[01:42] DeepSick和Kimi又一次在同一天技术对垒
[01:46] 同天发布论文
[01:48] 两篇论文都集中在改进注意力机制
[01:51] 以处理长文本的任务上
[01:52] 而在更早的之前
[01:54] 春节之前
[01:55] MiniMax也发布了一篇注意力机制相关的论文
[01:58] 那松林会带领大家阅读这三篇注意力机制相关的文章
[02:03] 解析不同的大模型公司的技术哲学与路线选择
[02:08] 我们希望能让更多的人领略AI技术平权
[02:12] 体验技术之美
[02:14] 那2025我们和AI共同进步
[02:18] 那今天这期节目延续我们的论文系列
[02:32] 我要请MIT的松林来给大家解读DeepSick和Kimi的最新论文
[02:37] DeepSick和Kimi这一次又一次的撞车了
[02:39] 在同一天发布论文
[02:41] 这两篇论文都集中在改进注意力机制
[02:44] 以处理长文本的任务上
[02:45] 两篇论文的署名分别包括了梁文峰和杨志玲
[02:49] 松林会带领大家来读最新的这两篇论文
[02:52] 同时也会对比
[02:54] 照讲解春节前另外一家大模型公司minimax发布的新型注意力的模型
[03:00] 那松林先给大家打个招呼
[03:02] 并做一个简单的自我介绍
[03:03] 包括你的研究方向
[03:05] 嗨大家好
[03:06] 我是杨松林
[03:07] 然后我现在是MIT
[03:10] CSC博士二年级
[03:12] 然后我的导师是Yongking
[03:14] 现在我的研究方向是就是硬件高效的序列建模
[03:20] 主要是集中在高效的注意力方面
[03:24] 主要是线性注意力
[03:27] 按照我们节目的传统
[03:28] 节目形式仍然是松林来主讲paper
[03:31] 中间遇到我不懂的地方
[03:32] 我会作为观众来提问
[03:34] 可能在中间可能在最后
[03:35] 那我们的主要目的是希望能够帮助更多的人了解
[03:39] 最前沿的AI research的世界到底在发生着什么
[03:43] 一起来共同学习
[03:44] 做你的赛博组会
[03:45] 也希望更多像我这样非技术背景的人
[03:48] 能够感受到技术之美
[03:50] 那开始之前呢
[03:52] 我想先简单的问松林几个问题
[03:53] 帮大家做一个定位
