[00:06] 开了一扇窗户
[00:07] 它并不是开了一个很敞开很大的一个门
[00:09] 说你随便走吧
[00:10] 所以我们是首先吃螃蟹的人
[00:12] 跟投资人当时讲这个事的时候
[00:13] 他们兴奋吗
[00:14] 听不懂
[00:14] 完全听不懂
[00:15] 这是什么东西
[00:16] 你们怎么挣钱
[00:17] 怎么把这个东西商业化了
[00:19] 投资人问的都是这个
[00:19] 我印象特别深刻
[00:20] 有个投资人
[00:21] 这东西你们能变成钱吗
[00:23] 你看这个大环境怎么差
[00:24] 经济怎么差
[00:25] 要不你们把估值降一半
[00:26] 怎么样
[00:27] 我听过一个评论
[00:28] 就是在讲智普的
[00:29] 因为智普其实一直不算是市场上最火
[00:31] 最明星的项目
[00:32] 但是是技术延伸的项目
[00:34] 然后你们是有视野有技术
[00:36] 但是看起来会有点boring
[00:38] 他给我一个描述说
[00:39] 就像水泥一样
[00:40] 他能干得很漂亮
[00:41] 但是他就是没有太多的情绪价值
[00:43] hello 姐姐好
[00:46] 欢迎收听张小俊商业访谈录
[00:49] 我是小俊
[00:50] 这是一档由语言机世界工作室出品的深度访谈节目
[00:54] 我们希望和你一起从这里探索新世界
[00:58] 上市前夕
[01:00] 智普CEO张鹏在一次出差途中摔断了跟腱
[01:04] 智普CEO张鹏在一次出差途中摔断了跟腱
[01:05] 到达访谈地点时
[01:06] 他拄着一副拐杖
[01:08] 当时智普确切的上是时间尚未明朗
[01:12] 他与minimax之间围绕全球大模型第一股的竞争
[01:16] 仍在持续
[01:18] 结果并未尘埃落地
[01:20] 张鹏提到一句西方俚语
[01:22] break a leg
[01:23] 摔断一条腿
[01:24] 他通常意味着祝你好运
[01:27] 几天之后结果揭晓
[01:30] 智普确定于2026年1月8日
[01:33] 也就是今天
[01:34] 登陆高雄
[01:35] 广交所成为中国首家上市的大模型公司
[01:38] 这也意味着
[01:40] 他将是全球大模型第一股
[01:43] 就在这个意味深长的历史性的时刻
[01:46] 我与张鹏做了一场三小时的长谈
[01:49] 一百年后
[01:51] 如果智普会出现在人物智能的历史书上
[01:53] 你希望他是被怎么撰写的
[01:55] 智普是AGI历史上的一个先行者
[01:59] 就开路的人
[02:00] 这是张小俊商业访谈录
[02:04] 与大家2026年见面的
[02:06] 第一集节目
[02:07] 祝大家新年快乐
[02:09] 期待在2026年
[02:11] 我们与AI一起进步
[02:21] 张鹏老师先给观众朋友们打个招呼
