[00:05] Hello 大家好,我是小骏
[00:07] AI 业界有两个尧舜宇
[00:09] 一个从OpenAI跳槽到了腾讯
[00:12] 一个从Anthropic跳槽到了Google DeepMind
[00:16] 前一位尧舜宇去年来过我们节目
[00:18] 那今年我们邀请了另外一位
[00:20] 这位尧舜宇毕业于清华和斯坦福大学
[00:23] 曾经的研究方向包括非厄米系统
[00:26] 量子物理和高能物理
[00:28] 毕业后从物理转战AI
[00:30] 2024年加入Anthropic
[00:33] 2025年跳槽到了Google DeepMind
[00:35] 出任研究科学家
[00:37] 参与了Cloud 3.7 4.5 Gemini 3等模型的开发过程
[00:41] 那除了这些重点模型的开发之外呢
[00:44] 它有一些很有趣的观点
[00:46] 比如说AI的本质是简单的
[00:49] 预训练也是一种强化学习
[00:50] 不要迷信老灯
[00:52] AI个人英雄主义的时代已经过去了
[00:55] AI从业者最重要的特质是靠谱等等等
[00:58] 我们的节目录制于2026年3月
[01:01] 距离我们这次节目
[01:02] 录制于2026年3月
[01:03] 录制完
[01:03] 世界又发生了许多意想不到的变化
[01:06] 比如说Meta对于Minus的收购被撤销
[01:10] Cursor可能被SpecsX收购
[01:12] XAI将终止独立运营并入SpecsX
[01:15] 并且更名为SpecsX AI等等等
[01:18] 那如果我们的谈话内容有一定的滞后性
[01:22] 还请大家能够多多包涵
[01:23] 因为AI的世界实在是变化太快
[01:26] 也太出乎意料了
[01:28] 那可能还要特别说明的一点是呢
[01:31] 技术细节会涉及到
[01:32] 一些企业机密
[01:34] 有一些是嘉宾不方便分享的
[01:36] 所以也请大家能够多多包容
[01:38] 我们在最大的可能的范围内
[01:41] 和大家一起来学习AI
[01:43] 那接下来就是我对顺宇的访谈
[01:46] 期待2026年我们和AI共同进步
[01:51] Enterprise作为一个公司来说
[01:53] 它能够实现这种
[01:55] 就是比较top-down的机制
[01:56] 是一个很独特的事
[01:58] 这对其他模型公司很难吗
[02:00] 很难
[02:00] 比如说OpenAI就干不了
[02:02] 就是
[02:02] 就是Gemini也比较难
[02:04] 打公司和Startup
[02:06] 它打发本来就不一样
[02:08] 因为Startup重要的是make bet
[02:11] 就是我得赌一件事
[02:14] 是我觉得大家现在就是
[02:15] 每个人都是冲浪的人
[02:17] 本质上是一个浪
[02:18] 而不是你那个冲浪的人
[02:20] AI这个事本来也不太需要脑子
[02:23] 需要脑子
[02:24] 真的不太需要脑子
[02:25] 需要什么
[02:26] 我觉得这个行业就是
