[00:06] Hello 大家好,欢迎收听张小俊商业访谈录,我是小俊
[00:10] 这是一档由语言级世界工作室出品的深度访谈节目
[00:14] 我们希望和你一起从这里探索新世界
[00:18] 今天这期节目很特殊
[00:23] 我们的录制时间是2025年的12月1日
[00:27] 嘉宾是MINUS联合创始人和首席科学家记忆超PIC
[00:31] 就在刚过去的凌晨
[00:34] MITA宣布全资收购MINUS
[00:37] 而在这期节目抑制的彼时,也就是月初
[00:41] 收购事件尚未发生
[00:43] 最终,这期节目成为了MINUS最后的访谈
[00:48] Hello, PIC,今天给大家打个招呼
[00:57] 并且做一个简单的自我介绍
[00:58] 好,大家好,我叫记忆超,朋友叫我PIC
[01:01] 我是MINUS AI的Co-Founder and Chief Scientist
[01:04] 然后今天很荣幸能参与这个节目的录制
[01:06] 你从小的经历感觉就很与众不同
[01:09] 就是很小,四岁就去了美国
[01:11] 然后二年级又回国,高中开始创业
[01:13] 大学辍学了
[01:14] 又创业,然后又读完了研究生
[01:16] 你讲讲你的这段经历吧
[01:18] 首先得从我家庭背景,就我觉得我很幸运
[01:21] 就是我的父亲是北大物理系教授
[01:23] 就是传统意义上的科学家
[01:25] 然后我母亲算是老一辈中关村联系创业者
[01:28] 当然现在可能可以叫企业家吧
[01:30] 所以就是我从小在一个这两种
[01:32] 怎么说你不叫文化吧
[01:33] 就两种不同的风格中一块去成长
[01:35] 我可能就在两者中取了一个中间点
[01:37] 就是所谓科技创业者
[01:39] 然后我从小的话,其实就是不是那种聪明孩子
[01:42] 就学习也就一般
[01:44] 但是呢
[01:44] 就是比较喜欢自己瞎琢磨
[01:46] 多一般
[01:46] 就偏科吧
[01:50] 就是其实我不知道我学习到底好不好
[01:53] 或者聪明不聪明
[01:54] 因为我觉得我就没怎么学
[01:55] 然后我比较幸运的是
[01:57] 就是我很早就找到自己喜欢做的事
[01:59] 就是那时候是大概是2009年
[02:02] 然后就是苹果
[02:03] 其实除了iPhone之后的第二年
[02:06] 对,然后那时候对我来说
[02:08] 有一个很大的改变就是App Store出现了
[02:10] App Store我觉得是对我来说
[02:11] 是特别重要的一个转折点
[02:13] 因为在App Store
[02:14] 之前其实世界上很多人像我一样
[02:16] 就喜欢自己捣鼓软件或做东西
[02:18] 但是你其实缺乏一个很好的全球化变现的一个能力
[02:21] 但这时候对于高中生来说
[02:22] 就如果你只是在瞎捣鼓一些课外的东西的话
[02:26] 这个东西其实是比较离经叛道的
[02:27] 你知道吧
[02:28] 就是你没有一个很好的第三方指标来证明说
[02:30] 我的这个爱好其实有价值的
[02:32] 而App Store当时的出现给了我一个契机
[02:34] 就是说我可以向我的父母同学乃至于老师证明说
[02:38] 我瞎搞的这个东西是能产生经济价值的
[02:41] 所以呢
[02:41] 我就算是中国第一代软件出海的创业者
[02:44] 对
[02:44] 但是那时候还在上高中
[02:45] 然后我是做了一个第三方的iOS浏览器
[02:48] 叫做Members Web Browser谋骂浏览器
[02:50] 当年小小火锅一点吧
[02:52] 然后用的是最朴素的那种就by copy
[02:54] 就是每卖一份就赚一份固定的销售额的这种模式
[02:57] 然后所以就是很幸运
[02:59] 就很早的时候就有了比较稳定的现金流
[03:01] 对
[03:02] 这个有多稳定啊现金流
[03:03] 那个软件从第一个版本到最后
[03:05] 我大概赚了30多万美金
[03:07] 对
[03:07] 当时我觉得那个对于高二高三的学生来说
[03:09] 已经算是挺开心的一个事
[03:10] 而且关键是就是它的销售的模式很清晰嘛
[03:13] 对吧
[03:14] 我不需要去考虑太多的
[03:15] 比如说这个in-app purchase
[03:17] 就是应用内付款
[03:18] 或者提供一些增值的这种模式
[03:20] 我只是非常老实的卖一份copy
[03:22] 然后你给我一份钱
[03:23] 所以其实对于我就是怎么说呢
[03:25] 我就是维护的成本是比较低的
[03:27] 是一个当时还成立的一种商业模式
[03:30] 但是后来大家都知道就是
[03:31] 移动端软件已经不太在支持这样特别朴素的商业模式
[03:35] 因为大家都要先免费或去客户
[03:37] 对或者就是说当时是一个很好玩的情况
