[00:02] 不能称作是AI bubble
[00:06] 更像是AI war
[00:07] AI可能就是得看作
[00:10] 只是新的国防
[00:12] 或核武器一样的东西
[00:13] 所以很多人可能就会
[00:15] 砸光最后一分钱
[00:17] 也不会轻易下牌桌吧
[00:18] 你看Google越强
[00:21] 越会形成一个反Google联盟
[00:23] OpenAI越强
[00:24] 也会形成一个反OpenAI联盟
[00:26] 其实你看OpenAI诞生的初衷
[00:28] 不就是为了挑战Google吗
[00:30] 所以有一个很大的概率
[00:33] 就是说未来机器人
[00:35] 世界模型的突破
[00:36] 可能不一定是
[00:38] 今天在座的这批人
[00:39] 有可能今天在座的这批人
[00:41] 是上一代NLP一样的结果
[00:44] 确实是包轮
[00:45] 就机器人最大问题
[00:48] 还是不泛化对吧
[00:50] 做这个播客很大的一个意义
[00:53] 就是要有passion
[00:55] 去鼓动中国的科技公司多买卡
[00:58] 给年轻的研究员
[01:00] 更多的搓卡的机会
[01:01] Hello 大家好
[01:05] 欢迎收听张小俊商业访谈录
[01:07] 我是小俊
[01:08] 这是一档由语言级世界工作室
[01:10] 出品的深度访谈节目
[01:12] 我们希望和你一起
[01:14] 从这里探索新世界
[01:16] 这里是全球大模型季报的第八集
[01:19] 也是我和广密跨年对谈的第三年了
[01:21] 那这期节目将带你看到
[01:24] 在对AGI开始充斥着
[01:26] 现实主义情绪回归的当下
[01:27] 全球的AI竞争
[01:29] 它形成了怎样的战队
[01:32] 阵营和联盟
[01:33] 各个前期节目
[01:34] 试验实验室在探索哪些新的范式
[01:36] 以及硅谷又涌现出了
[01:38] 哪些新型的研究实验室
[01:40] 如果你对全球大模型季报
[01:42] 有更多的想法或者建议
[01:43] 欢迎大家在评论区里
[01:45] 多多给我们留言
[01:46] 我们都会看到
[01:47] 那2025年的最后
[01:49] 期待我们和AI共同进步
[01:51] Hello 广密
[02:01] 还是给大家打个招呼吧
[02:02] Hello 我是广密
[02:04] 时间过得好快啊
[02:05] 这已经是我们的第八集季报
[02:07] 第三年的跨年对谈了
[02:09] 你觉得我们一起录制这个系列
[02:10] 这么长时间
[02:11] 给你的生活
[02:12] 工作带来哪些变化
[02:13] 你觉得做内容好玩吗
[02:15] 我觉得做内容蛮有趣的吧
[02:18] 就是
[02:18] 反馈闭环比投资快
[02:21] 而且播客的听众
[02:23] 很多都是一线的从业者
[02:25] 很多人水平也挺高的
[02:27] 很多人听了后找我聊天
[02:29] 也认识了很多朋友吧
[02:31] 我自己也学到了很多东西
[02:33] 就是一线的人
[02:34] 说受到很多启发
[02:36] 这也是一个很好的正向鼓励吧
[02:38] 我就希望
[02:39] 每个季度能系统地讲一讲
[02:41] 就对自己
[02:42] 和对团队也是一个阶段性总结
[02:44] 然后也希望
[02:46] 让听众更好地理解全球AI的进展
[02:50] 然后大模型季报也希望
[02:53] 纯粹地做一个公益科普的内容吧
[02:56] 是输出真的有用的信息
[02:58] 反正做着做着的过程中呢
[03:00] 坚持做播客
[03:02] 慢慢的也有了一个更大的意义
[03:04] 或者说一个passion
[03:05] 就是说叫推动中国AGI的
[03:08] 棋手和步道者
[03:09] 就是步道和科普自己相信的东西
[03:12] 希望中国也有一个自己的硅谷吧
[03:15] 也希望对华人创意者有一些帮助吧
[03:18] 过去这个季度
[03:19] 似乎整体的AGI叙事
[03:21] 在变得更现实更谨慎
[03:23] 你的感受和状态是什么样的
[03:25] 我过去一个季度
[03:27] 依然还是把大部分时间
[03:29] 精力花在了AI研究员身上
[03:31] 那个因为技术变化确实很快
[03:34] 还要持续地理解技术的进展
[03:37] 今天又到了一个比较关键的时间点吧
[03:41] 比如说
[03:42] Coding从年初几亿美金硬生生的长出来一个
[03:47] 百亿美金年化营收的一个新市场对吧
[03:50] 后面还有多大
[03:51] 然后会怎么走
[03:52] 再比如Google王者归来对吧
[03:56] 对后面格局的影响
[03:58] 再比如说伊利亚公开说scaling停了
[04:02] 我们应该怎么理解
[04:04] 包括还有下一代范式
[04:07] online learning已经在孕育了
[04:09] 这个可能还是一个核弹级别的突破对吧
[04:12] 所以接下来应该关注什么
[04:15] 哪一个是真问题
[04:16] 哪个是假问题
[04:18] 这个时候感觉理解技术的本身
[04:21] 变得比以往更加的重要
[04:23] 所以理解了技术本身
[04:25] 对2627年做正确的战略下注是非常有用的
[04:31] 你看最近大家都在说AI bubble
[04:33] 那站在2025年的尾巴上
[04:34] 你有嗅到泡沫的味道没有
[04:36] 你对于2026年是乐观更多还是悲观更多
[04:40] 我担心过一阵子
[04:42] 现在结论是不用太担心
[04:44] 不能称作是AI bubble
[04:47] 更像是AI war
[04:48] 这是每个科技巨头都输不起的战争或军备竞赛
[04:54] 甚至说这也是中美国家战略都输不起的一个战争竞赛
[04:59] AI可能就是得看作这是新的国防和核武器一样的东西
[05:05] 所以很多人可能就会砸光最后一分钱
[05:08] 也不会轻易下牌桌吧
[05:10] 为什么你说每个科技巨头都输不起啊
[05:12] 就是颠覆性太强了
[05:15] 你举一个现实的例子
[05:17] 商业上就是说
[05:18] 你看现在每个开发者或者企业
[05:21] 过去都是首选AWS或者Azure
[05:24] 去做应用开发部署对吧
[05:26] 现在是首选用哪个模型
[05:28] GPT Cloud Gemini
[05:29] 那云厂商就被白牌化了
[05:32] 就像当年惠普DAO一样
[05:34] 其实就被藏到后面去了
[05:35] 然后我们再推演C端
[05:38] 就看豆包手机这个例子
[05:40] 如果AI agent
[05:42] 成为流量入口了
[05:44] 那今天的Super App其实就被短路了
[05:46] 那今天的Super App其实是靠信息不对称赚钱的
[05:51] 如果Agent让信息分发充分对称了
[05:56] 那像Uber像携程这种信息中介平台
[05:59] 其实就不应该赚那么多钱了
[06:01] 你看在湾区打Uber经常被平台抽个50%
[06:05] 司机连一半都不到
[06:06] 甚至说传统搜索也不应该赚那么多钱
[06:11] 所以今天的科技巨头
[06:12] 它又要防守又要激进的进攻
[06:15] 对这是商业层面
[06:18] 如果从国家战略层面
[06:20] 我觉得AI也应该成为中美战略重点之一
[06:25] 就是叫再重视都不为过
[06:27] 其实输不起的
[06:28] 对Agent会带来重新的流量分配
[06:31] 有可能会打掉现有的平台
[06:32] 那你觉得为什么大家会谈论AI bubble
[06:36] 这次AI bubble的导火索是什么
[06:38] 我看你们前段时间也开了研讨会来讨论这个事
[06:41] 对
[06:42] 主要原因还是10月份的时候
[06:45] Sam提了1.4个T那个问题
[06:47] 30个G瓦的那个算力建设
[06:50] GPU都是按6年摊销
[06:52] 那就意味着OpenAI平均每年要烧掉2000多亿美金
[06:56] 那OpenAI其实到2030年
[06:58] 你看它的公开的预测也就2000多亿美金的年营收
[07:02] 对吧
[07:02] 那未来5年累计加起来的营收
[07:05] 大概五六千亿美金
[07:07] 其实从商业和现金流的视角
[07:09] 那短期肯定是算不过账的
[07:12] 那也不知道怎么赚回那么多钱
[07:15] 说实话
[07:16] 今天也不知道Sam为什么要花那么多钱
[07:18] 对吧
[07:18] 但我觉得有一个明确的是
[07:21] 未来两三年OpenAI的现金流是没啥问题的
[07:24] 就是你看最近有个新闻
[07:26] 那个按8000多亿美金估值再融1000亿美金
[07:29] 对吧
[07:29] 其实OpenAI自身的现金还是充裕的
[07:32] 但这1.4T呢就听着比较大
[07:35] 其实大部分的投入都是28年和之后的
[07:38] 一个多月以前
[07:39] 就Sam上了一个播客
[07:41] 在主持人连续追问OpenAI如何为1.4万亿美元的承诺买单的时候
[07:46] 他那个问题回答的很不好
[07:48] 他说如果你想卖掉你的股份
[07:49] 我可以帮你找买家够了
[07:51] 这个也引发了大家对于OpenAI信心的波动
[07:54] 那你能不能拆解一下OpenAI的收入构成
[07:57] OpenAI有可以看得清的收入
[08:00] 也有看不清未来潜在的收入
[08:04] 如果看得清的收入我们就拆一下
[08:05] 就说订阅广告电商对吧
[08:08] 我们就比较乐观的假设
