[00:01] Hello 大家好 我是小骏
[00:15] 今天我们来到了美国硅谷
[00:18] 此刻正在扎克伯格最早的创业所在地Facebook House
[00:21] 这是一栋外表为淡蓝色的可爱的小房子
[00:25] 而今天也将迎来上一访谈录最年轻的一位嘉宾
[00:29] 她是一位00后的华人女孩
[00:31] 名字叫洪乐彤
[00:32] 她的探索方向是AF4Math
[00:35] 所创办的公司Oxfam
[00:37] 刚刚完成了估值为16亿美元的A轮融资
[00:40] 而她引起了很多人的关注
[00:43] 则来自于这样一条新闻
[00:45] 57岁的美国终身教授突然辞职
[00:49] 去给24岁的华人女孩打工
[00:51] 那接下来就是我对洪乐彤的访谈
[00:54] 因为我确实在每一个时期
[00:57] 都觉得自己是那个环境里面最愚蠢的那一个
[01:00] 最怎么样努力都看不到结果的那一个
[01:03] 在你的心目中AF4Math
[01:05] 它在整个AI的大地图上
[01:07] 它应该活在哪里呢
[01:07] 活在哪个地方
[01:08] 我觉得大部分我知道的就是
[01:11] Founder就是创业公司的创始人
[01:15] 他们都对就是苦难上瘾
[01:17] 我听下来我会有一个问题
[01:18] 因为现在coding也很火
[01:20] 对
[01:20] 那用Math作为手段和用coding作为手段
[01:23] 去执行任务的区别会是什么呢
[01:25] 没有人喜欢这种词
[01:26] 没有人喜欢这种词
[01:29] 它不是说难
[01:31] 结果难
[01:31] 它就是累
[01:32] 你是一个复读机
[01:36] 一次一次
[01:37] 一次的说一样的事情
[01:40] 你一次一次的接到一样的问题
[01:42] 真的我就能
[01:43] 我可以把它录下来
[01:45] 然后我就给你们大家发对吧
[01:47] 你们反正问题也是一样的
[01:48] 这个
[01:49] 但是呢
[01:50] 就是从这一些大量的
[01:53] 比较无聊的这个过程中
[01:55] 有一些让人很激动的谈话
[01:58] 通常这一些谈话是你最终选择的选择的投资人
[02:02] 比如我印象特别深刻的我们最后的领头方
[02:04] B Capital
[02:05] 我跟Howard Morgan
[02:07] 呃
[02:07] 就是有一个对话
[02:15] Hello 乐彤
[02:16] 还是先给观众朋友们打个招呼
