[00:02] 我觉得是可能是有史以来
[00:03] 最激烈的一次科技竞争
[00:05] 有史以来最激烈
[00:06] 对
[00:07] 其实我觉得人年轻的时候
[00:09] 就是把把都会上
[00:10] 把把都会上
[00:11] 对就像打牌一样
[00:13] 把把都上
[00:13] 其实就有些牌可以不上
[00:15] 当时我觉得大家目标
[00:18] 还是很想去上市
[00:20] 形成一个本雷达
[00:21] 对吧
[00:22] 大家就觉得资本市场
[00:23] 总是感觉性目标
[00:24] 但其实回头看资本市场
[00:26] 是一个很关键的
[00:28] 活下去的一个中间节点
[00:30] 但上市真的
[00:31] 不会改变任何本质的东西
[00:33] 哈喽大家好
[00:48] 我是小俊
[00:49] 今天的嘉宾是应齐
[00:51] 他在担任智能驾驶公司
[00:53] 千里科技的董事长之外呢
[00:55] 最近也迎来了一个新的身份
[00:57] 出任大模型公司
[00:59] 街跃星辰的董事长
[01:01] 这次我和他聊了聊新身份
[01:03] 新阶段
[01:04] 以及从AI 1.0到2.0的
[01:07] 转轨与反思
[01:08] 接下来是我对应齐的访谈
[01:11] 期待2026年
[01:12] 我们和AI
[01:13] 共同进步
[01:15] 哈喽应齐
[01:31] 先给观众朋友们打个招呼
[01:33] 嗨大家好
[01:34] 我是应齐
[01:35] 听说你的身份
[01:36] 马上会有一些新的变化
[01:37] 要不你先自己来
[01:38] 做一个自我介绍
[01:39] 也聊聊接下来
[01:40] 可能有的一些调整
[01:41] 我现在身份是
[01:43] 千里科技的董事长
[01:44] 千里科技是一家
[01:45] A股上市公司
[01:46] 主要专注在AI跟车
[01:48] 以及未来可能机器人的
[01:49] 一些结合上
[01:50] 接下来可能会有一个
[01:51] 新的身份
[01:52] 就是街跃星辰的董事长
[01:54] 街跃星辰是一家
[01:55] 专注在技术大模型的公司
[01:57] 所以这可能也是一个
[01:59] 对我来说
[01:59] 一个比较大的一个变化
[02:00] 为什么是在这个时间点
[02:03] 有这个变化
[02:03] 这个时间有考虑吗
[02:05] 对我自己其实
[02:07] 算是一个AI创业的老兵
[02:10] 今年可能接近15年的
[02:12] AI的行业的历程
[02:14] 总体上我觉得
[02:16] 一直是沿着
[02:17] 技术和模型这条线
[02:19] 大家现在可能讲
[02:20] 有AI 1.0有2.0
[02:22] 街跃星辰也是
[02:24] 我一直有深度参与的
[02:26] 一家企业
[02:27] 到今天可能正式
[02:29] 出任它的董事长
[02:30] 可能也是在一个新的阶段
[02:31] 希望能够投入更大的精力
[02:33] 能够支持街跃的发展
[02:36] 同时我觉得
[02:36] 所有AI的产业
[02:38] 是以模型为中心的
[02:40] 所以也希望街跃和现有的
[02:42] 包括千里等
[02:43] 可能这些相关的产业
