[00:01] 为什么你做这件事情比大部分人都早
[00:03] 你觉得是为什么
[00:04] 我觉得有幸运的部分
[00:05] 就是说我PhD做第一个事情
[00:08] 其实就是基于语言模型去做agent
[00:11] 你只有有个different bet
[00:14] 你才能够超越之前的霸主
[00:18] 就是说我觉得如果OpenAI一直做强化学习
[00:20] 那可能也很难超过different
[00:22] 我导师他是GBT-1的第二个作者
[00:26] 他当时对这个事情就有点怀疑
[00:28] 很有意思一点是说
[00:32] 传统上大家认为发生的事情是
[00:35] 比如我大厂先做出来一个东西
[00:37] 然后创业公司就可以开始抄
[00:40] 比如说我做出来拆GBT
[00:41] 那我可以去抄拆GBT
[00:43] 或者去做一个类似的事情
[00:44] 但现在来看
[00:46] 似乎反过来的事情也是可以成立的
[00:49] 如果你成为了博客线的CEO
[00:53] 未来要拿出500亿美金
[00:55] allocate到AGA这个行业
[00:59] 你会怎么去allocate这笔钱
[01:01] 技能体现
[01:02] 这笔钱回报也能体现对人类的贡献
[01:09] 就是BATON有different superapp的产品形态
[01:11] 有不同的交互方式
[01:13] 如果你不相信这一点的话
[01:14] 那这个世界就变得很灰暗
[01:16] 就是那只有OpenAI或者antropic有机会
[01:20] 但是如果你相信这一点的话
[01:22] 就会有很多新的机会
[01:32] Hello大家好
[01:33] 欢迎收听张小俊商业访谈录
[01:35] 我是小俊
[01:36] 这是一档由语言及世界工作室出品的深度访谈节目
[01:40] 我们希望和你一起从这里
[01:42] 探索新世界
[01:44] 今天的嘉宾我们很开心邀请了OpenAI的研究员姚舜宇
[01:49] 2025年4月
[01:50] 姚舜宇发布了一篇很有名的博文
[01:53] The Second Half
[01:54] 宣告AI主线程的游戏已经进入了下半场
[01:57] 这之后我们与他进行了一场博客对谈
[02:00] 姚舜宇毕业于清华和普林斯顿大学
[02:03] 开始智能体理研究非常的早
[02:05] 在博士期间
[02:06] 他意识到了语言可能是人类发明的最接近本质的工具
[02:10] 于是转向了语言智能体理研究的目标
[02:12] 至今已经6年
