[00:02] 今天其实非常清晰,美股有三条主线,第一条肯定是AI,第二条叫re-industrialization,就是再工业化,第三条叫digitization of finance,就是一个金融产业的创新。
[00:16] 是最早看出来OpenAI是一个产品公司,而不只是模型公司的时候下注的。
[00:22] 然后江湖也有传言,就是Nom Shazir这个人,就是之前Character AI的创始人,在他回到国之后,说是徒手改了一个bug。
[00:34] 本质上Robinhood的商业模式是很差的,可以说是一手烂牌,因为证券交易本身有非常强的周期性,它并不是一个好生意。
[00:55] 在我们的年度回顾系列站在2025年之外的前两集节目里,朱孝虎是这样说的。
[01:25] 在我们的年度回顾系列站在2025年之外的前两集节目里,朱孝虎是这样说的。
[01:27] 而戴宇森则预测。
[01:29] 2026年呢,我有一个关键词叫,2026年是year of R,就是R之年,这个英文字母代表的几个含义,第一个R,我的含义呢,我觉得叫return,就是回报。
[01:40] 你觉得站在2025年的尾巴上,你有嗅到泡沫的味道没有?
[01:44] 人类历史上每次技术革命都带来了泡沫,几乎毫无例外,不管是从当时的修运河,还是修铁路,还是修高速公路后来的互联网。
[01:53] 其实我觉得都带来了泡沫。
[01:57] 你提出the year of R,同时你清空了二级市场的股票,那你会做空吗?
[02:03] 我不会,我觉得做空是一件,当然有人很擅长做空,因为我有很多对冲基金的朋友,但是我觉得做空是一个你希望别人变得很惨的事情,我觉得这个在二级市场不是一件好事情。
[02:14] 那我们今天推出的是这个系列的第三集节目,嘉宾来自一线的硅谷视角。
[02:19] 一个多月前,在2025年11月初,Sam Altman上了一档油美股。
[02:23] 在美国基金Ultimate Capital创始人主持的播客节目,在主持人连续追问OpenAI如何为1.4万亿美元级别算力及基础设施承诺买单时,Sam称,如果你想卖掉你的股份,我可以帮你找到买家,够了。
[02:40] 随后,AI板块整体出现波动,关于AI是否存在泡沫的讨论进一步升温。
[02:47] 我们今天的嘉宾Freda Dunn就来自这个Ultimate Capital,她担任合伙人。
[02:52] Ultimate是一个硅谷科技基金横跨一二级市场,在一级市场的投资案例有OpenAI,Anthropic,字节跳动,在二级市场投资案例有英伟达,Snowflake,Robinhood。
[03:05] 今天这集节目呢,Freda将深入分析美国这些明星公司给他们的巨额投入算算账,她也从一线硅谷投资人的视角聊了聊美国资本的新秩序,他们眼中的坏小孩,反叛者,刺猬型和哪吒型的创始人。
[03:22] 以及泡沫。
[03:23] 那2025年,期待我们和AI共同进步。
[03:38] Hello,Freda,先给听众朋友们打个招呼,并且做一个简单的自我介绍。
[03:43] 大家好,我是Base在硅谷的一个科技投资人,在一家叫做Ultimate Capital的基金。
[03:49] Freda应该是很少在美国一线基金里面的华人啊,能不能给大家介绍一下你共职的这家基金和你们的创始人以及创立的背景。
[03:57] 我们是一家位于硅谷的一线科技投资机构,覆盖一级和二级市场。
[04:02] 创始人自己是一个连续创业者,在一级我们比较出名的是包括重仓OpenAI,Anthropic,字节一系列公司。
[04:11] 在二级我们比较敢于重仓,敢于做一些非共识投资,包括22年,23年的Meta,英伟达,今年的Robinhood,以及之前作为Snowflake等很多软件公司的大股东。
[04:23] 一个与众不同,我觉得比较有意思的点,就是我们是美国少有的,很愿意公开自己研究和思考的基金。
[04:30] 很多人知道我们是通过一个叫BG2C。
[04:32] 最近几周有和Sam Altman,曾胜黄的很多公开采访。
[04:37] 我们几个合伙人也会在Twitter和Subsite上分享自己的认知。
[04:41] 我在里面分享AI和一些前沿科技,包括AI应用,互联网,硬科技和金融科技比较多一点。
[04:48] 说起来我觉得很恍惚,因为21年,22年,我记得硅谷还是笼罩在裁员的风波里。
[04:54] 那到了25年,似乎整个的情绪和叙事都发生了非常大的变化。
[04:58] 你看MyTie又是在天价的挖人。
[05:02] 你觉得这几年你的真实体感有变化吗?
[05:05] 你们描述一下在每一年你身处其中,你心里能够定义那一年的一些瞬间。
[05:11] 每年说几个重点词吧。
[05:13] 2020年就是疫情,降息,市场火爆。
[05:18] 21年是市场持续火爆,但其实你能看出来一些就类似潮水退去的迹象。
[05:24] 比如说股票里面,中小盘或者说质量没有那么高的股票,它们的顶部就是在21年的2月份。
[05:31] 然后大票类似于2月份。
[05:32] 然后大票类似于微软,是11月份开始掉头的。
[05:35] 22年就是非常悲惨的一年,通货膨胀,纳斯达克指数跌了35%,像Meta这样的股票都跌了70%。
[05:42] 23年就是在大家都完全没有反应过来的时候,AI开始火热了。
[05:47] 24年是AI叙事,其实是作为我们投资角度最好做的一年。
[05:51] 25年就是关税,中美关系,然后还是在积雪AI这个浪潮。
[05:56] 你怎么看这几年的这些起起伏伏?
[05:59] 你说的很对,我觉得起起伏伏确实很多。
[06:02] 其实挺不正常的,因为如果你看过去几十年的历史,美股是一个长牛式的逻辑。
[06:08] 你从2000年开始算,纳斯达克其实一共只有6次是下跌幅度超过20%的。
