[00:00] 就是蒋曾国藩从20多岁是一个儒家清流
[00:04] 怎么到40岁变成一个特别有事工的一个人
[00:08] 是杨志林也是你的同学
[00:10] 是
[00:10] 他是一个什么样的人
[00:11] 就是高不可攀的大神
[00:12] 你是当时引入的一条绵羽吗
[00:15] 我应该算是吧
[00:17] 我应该算是吧
[00:18] 我从M出来创业
[00:19] 我放弃了所有的期权
[00:20] 全部放弃了
[00:22] 有多少
[00:22] 当时那个时间点
[00:24] 一千两美金可能是有的吧
[00:26] 最近许华哲要离职
[00:28] 是的
[00:29] 许华哲主要是做算法
[00:31] 这是不是意味着现阶段来说
[00:33] 对于机器人公司算法创新不重要
[00:35] 你刚才也提到在Momenta
[00:39] 绍青离开了Momenta
[00:41] 之于曹旭东的影响
[00:44] 你觉得华哲离开星海图
[00:46] 之于你的影响
[00:47] 这两者是一样的吗
[00:48] Hello大家好
[00:59] 我是小骏
[01:00] 我一直有一个疑惑
[01:02] 为什么中国巨声智能产业里
[01:04] 没有出现一个像梁文峰
[01:06] 杨志林这样带着浓重的技术
[01:08] 浪漫的技术
[01:09] 和浪漫主义色彩的人
[01:10] 这让我有时候有点失落
[01:12] 直到我认识了高继扬
[01:14] 他似乎是这种极致的浪漫主义的反面
[01:17] 代表了一种极致的
[01:19] 效率 工程拆解
[01:21] 与实用主义
[01:22] 这次访谈录制的时候
[01:24] 正好是星海图的一位联合创始人
[01:27] 许华哲即将离职
[01:28] 这也许是某种信号
[01:30] 高继扬告诉我
[01:32] 做机器人行业就是一个链条极长的行业
[01:35] 有时候
[01:36] 你就是要把你的头伸到土里去
[01:39] 那接下来
[01:40] 就是我对星海图创始人高继扬的访谈
[01:43] Hello 继扬
[01:50] 你的实际年龄好像比你
[01:51] 真实看起来要年轻很多
[01:54] 我一直默认你是80后
[01:56] 直到我们见面之前
[01:57] 我看你资料才发现你是92的
[01:59] 所以你是经历了什么
[02:00] 同龄人没有经历过的事情吗
[02:02] 你说的这个实际年龄指的是
[02:04] 指的是看上去比其实要老一些是吗
[02:08] 还是怎么样
[02:09] 对 看上去比实际生命年龄要老一些
[02:12] 我觉得这可能是
[02:14] 也跟创业有关系
[02:15] 创业确实需要一个人
[02:19] 更早的进入到一个
[02:20] 我觉得城府的一个状态
[02:21] 而且是各方各面的
[02:22] 因为每天可能也跟不同类型的人打交道
[02:25] 然后需要这个人整体来说
[02:27] 是比较符合的一个状态
[02:30] 我觉得可能跟创业有关系
[02:32] 再加上可能我这个面相也偏老一些
[02:35] 你是个什么样的小孩从小
[02:37] 你是怎么长大的
[02:38] 小时候
[02:40] 小时候我觉得就比较正常
[02:43] 小学的时候学习成绩还可以
[02:46] 然后可能前几名
[02:48] 前五名但也不是那个最好的
[02:50] 不是班级前五
[02:52] 班级前五或者前十这个样子
[02:54] 然后我那小学也不是那种
[02:57] 就是特别好的小学
[02:58] 就正常好
[02:59] 正常好的小学
[03:00] 在石家庄
[03:01] 在石家庄
[03:02] 对 我是河北石家庄人
[03:05] 就是一个正常的小学
[03:06] 然后反正就正常的上学
[03:08] 然后小学的时候学过一段时间的
[03:11] 就是那个时候反正都上什么奥赛
[03:13] 数学奥林匹克
[03:15] 然后学了一段时间
[03:16] 但其实学的也不是特别好
[03:18] 所以其实我的小学还过得比较轻松
[03:21] 就是后来也就不学那些了
[03:23] 就正常上课
[03:24] 然后等到六年级的时候
[03:27] 就是突然发现还是得考虑初中的这个问题
[03:31] 然后当时我父母也比较
[03:33] 就是开始关注这个问题了
[03:35] 五年级六年级的时候
[03:37] 然后所以那个时候就是努力了一段时间
[03:40] 然后尤其是我记得就是六年级那暑假
[03:43] 这个是我应该是第一次用功
[03:45] 六年级的暑假不都毕业了吗
[03:48] 对 因为我要准备就是初一的那个分班考试
[03:53] 就想上那个重点班而不是普通班
[03:55] 对 所以那个我觉得是我考试生涯当中第一次还不错
[04:00] 应该是当时考了年级第三名
[04:03] 然后后来就初一初二
[04:05] 就又比较正常吧 比较普通
[04:09] 然后到初三那会儿
[04:12] 就又开始好好学习
[04:14] 就初一初二反正成绩也还行吧
[04:16] 就几十名 年级几十名的样子
[04:18] 你在石家庄哪个学校
[04:20] 初中是二十七中
[04:22] 然后小学是玉东小学
[04:25] 我高中还不错
[04:26] 高中我是那个石家庄二中
[04:29] 然后是那个生理科实验班
[04:31] 也正是因为考上这个班了
[04:33] 所以后面才有机会学这个竞赛
[04:37] 就是我是学物理竞赛嘛
[04:38] 哦 你是高中才竞赛的
[04:40] 对 我是高中开始学物理竞赛
[04:42] 然后学物理竞赛
[04:44] 然后当时也是尝试学了一下其他几门
[04:47] 发现这个还是物理竞赛感觉学的明白一些
[04:50] 然后所以高一高二就是在学物理竞赛
[04:54] 就是正常的文化课
[04:55] 我们那学校就是这样
[04:56] 就是你要是选择物理竞赛
[04:58] 正常的那个课程就可以少上一些
[05:01] 然后所以我就后来就是没有高考
[05:04] 就是竞赛 物理竞赛保送上清华
[05:07] 就是这样
[05:08] 你是竞赛的能力很强 是有天赋吗
[05:11] 我觉得不是
[05:12] 我见过真正有天赋的人
[05:15] 然后跟真正有天赋的人比
[05:17] 我觉得我主要是靠勤奋 靠努力
[05:19] 然后物理竞赛其实也
[05:21] 我觉得我也不笨啊首先
[05:23] 但确实是有的时候解题啊这方面的
[05:27] 有些同学就是能够想到那个解法
[05:30] 我可能就是想不到
[05:33] 那我的办法呢反正就是说
[05:35] 所以从那时候开始练就归纳总结
[05:38] 然后呢把不同的这个题型 对吧
[05:41] 能映射到什么样的考试
[05:42] 然后从小点开始归纳
[05:44] 然后呢就是靠勤奋吧
[05:46] 所以其实我最后 我觉得当时我运气也不错
[05:50] 因为那个物理竞赛在这样
[05:52] 它是省一等奖的话 你就有保送资格
[05:55] 然后但是呢你得参加那个当时叫保送生考试
[05:59] 那保送生考试又要把什么数学啊
[06:02] 什么英语啊语文啊这些全考一遍
[06:04] 对然后我呢就比较幸运
[06:06] 就正好进了省队
[06:08] 然后进了省队之后呢去参加全国赛
[06:11] 然后在全国赛呢
[06:12] 也不是特别好吧
[06:13] 就是不是全国一等奖
[06:15] 我正好全国二等奖
[06:16] 然后那年的清华反正全国二等奖
[06:19] 也是让你可以挑专业的
[06:21] 所以当时我们那年是在厦门
[06:24] 当时我记得2010年的11月份应该是
[06:31] 2010年11月份
[06:32] 当时在厦门考了两三天
[06:34] 然后考试的最后一天
[06:36] 我现在都还记得那个清华招生的老师
[06:40] 因为大家都在一个宾馆里面
[06:42] 住着然后他就直接给宾馆那个房间打电话
[06:45] 说通知你这房间里边谁谁谁去哪个房间
[06:50] 然后当时就我被通知到了
[06:52] 然后一去那边
[06:54] 然后就可能有几十个人在那边排着队
[06:56] 然后排队干什么呢就是
[06:58] 问你俩问题
[06:59] 现在反正有这个机会
[07:02] 你要不要上清华
[07:04] 要上清华你先选个专业
[07:06] 然后当时我就是选了那个电子工程
[07:09] 电子企业就是这样
[07:10] 为什么当时选这个专业
[07:12] 你当时大家有什么认知吗
[07:14] 当时啊就是觉得做芯片这个事
[07:18] 是可能是有前途的
[07:20] 所以当时去电子系
[07:21] 因为电子系是做芯片的
[07:23] 那个集中电路
[07:24] 所以就往这个方向
[07:27] 但当时其实也没有
[07:28] 特别特别好的这个思考
[07:31] 但是知道这个东西应该是有前途的
[07:33] 方向没问题
[07:35] 然后呢这个我就写了电子系
[07:37] 然后电子系也是
[07:39] 也没错清华很好的系啊
[07:40] 清华第一大系
[07:42] 然后那个那个可能
[07:44] 摇板可能更好一些吧
[07:45] 然后对对人的这个要求会更高一些
[07:49] 电子系其实
[07:50] 电子系也都还挺不错的了
[07:53] 你当时属于很勤奋的你是
[07:55] 有多勤奋
[07:56] 你是显著比其他人更勤奋
[07:58] 我是当我发现我需要勤奋的时候
[08:00] 我是非常勤奋的
[08:01] 然后
[08:03] 但是当不需要的时候对我也不是很勤奋
[08:06] 所以我感觉你的人生好像是就是你意识到这个时间段对你很重要
[08:10] 然后你就会突击一下
[08:11] 然后你意识到这一段可能我
[08:13] 轻松也没事你也就会放轻松
[08:15] 所以你是一段一段的
[08:17] 对至少我觉得上大学之前吧
[08:18] 是这样的
[08:20] 就上大学之后呢也有过这样的
[08:23] 然后但是大学毕业之后我觉得我就
[08:26] 就是就变了一个状态
[08:27] 就是一直就保持比较勤奋的状态了
[08:30] 为什么
[08:31] 目标感更强了吧
[08:32] 我觉得上大学那会
[08:33] 刚上大学
[08:35] 其实就开始想就是说未来
[08:38] 要干点啥嘛
[08:39] 然后我忘了是什么大二还是大三吧
[08:41] 反正想好
[08:42] 就是还是要创业
[08:44] 我那时候就确定你觉得要创业
[08:46] 对
[08:46] 对那时候我就想好是要创业
