[00:03] Hello 大家好,我是小骏
[00:04] 2026年除了嘉宾访谈
[00:07] 我们也很希望推出一些由内部人士带来的产业单集
[00:12] 那今天就是这样的一次尝试
[00:14] 我们知道数据算力算法是驱动人工智能的三驾马车
[00:19] 今天这集节目我们邀请我们的返场嘉宾
[00:22] 光轮智能的创始人兼CEO谢晨
[00:25] 试图通过一集节目来完整的聊聊这其中的一驾马车
[00:30] 数据问题
[00:31] 我们尝试来做一个数据的产业综述
[00:35] 大圆模型的数据遇到的是壮强的难题
[00:39] 机器人的数据则处在一片荒漠之中
[00:42] 数据产业究竟是如何运转的
[00:45] 一些人正在探索的仿真数据数据金字塔
[00:48] 又将如何改变产业的格局呢
[00:51] 那接下来就是我对谢晨的访谈
[00:54] 如果大家对更多的产业话题感兴趣
[00:57] 欢迎在评论区里留言
[01:00] 期待我们在2026年
[01:01] 和AI共同进步
[01:04] 从你的视角告诉我们谁变得更激进了
[01:06] 我觉得自己肯定是更激进了
[01:10] 我觉得阿里
[01:11] 我觉得OpenAI
[01:13] 我觉得Dmine也绝对更激进了
[01:16] 对 我觉得英伟达
[01:18] 我觉得也更激进了
[01:19] 这就是五家角逐机器人大脑的团队
[01:22] 对 其实某种层面上
[01:24] 我认为Pi也应该属于这一类
[01:25] 其实最有效的数据是先失败再成功的数据
[01:30] 我觉得就是说
[01:31] 到了终局可能整体上来讲
[01:34] 就跟马斯克说的
[01:35] 咱们人可能就在一个仿真里头
[01:37] Hello Steve
[01:49] 先给观众朋友们打个招呼
[01:50] 谢谢小俊的邀请
[01:51] 我叫Steve
[01:53] 朱文明叫谢晨
[01:54] 我是光轮智能的创始人CEO
[01:56] Steve其实之前来过我们的播客节目
[01:58] 但是因为我们今天是第一次录视频播客
[02:01] 所以还是请Steve先给我们做个自我介绍
[02:03] 并且讲讲过往的经历
[02:05] 我最早是在这个北大物理读的本科
[02:08] 然后去这个哥伦比亚大学的商学院
[02:11] 读了一个科目
[02:11] 量化金融的博士
[02:13] 然后与很多我觉得在科技圈
[02:16] 尤其是在巨深圈创业的leader不一样
[02:19] 我其实刚毕业了以后的经历有一些复杂
[02:23] 我其实在电商做过动态定价的
[02:27] AI算法的负责人
[02:29] 电商哪家公司
[02:30] 其实当时叫J.com
[02:32] 它是一个希望去颠覆亚马逊的
[02:35] 一家新兴的创业的公司
[02:37] 然后很迅速的去融了很多钱
[02:40] 最后其实被沃尔玛
[02:41] 收购那当然在这个之后
[02:43] 其实我还做过这个产品经理
[02:47] 就也负责过产品
[02:48] 所以其实我一直是在算法以及落地之间
[02:53] 就再去思考我的下一步
[02:55] 那直到2018年的时候
[02:57] 我特别幸运去了硅谷
[02:59] 加入了Cruze
[03:00] 那是当时可能最领先的
[03:03] 或者最领先的VR的两家
[03:05] 一家是vmo
[03:06] 一家是Cruze的L4的自动驾驶公司
[03:09] 去Cruze去负责自动驾驶的仿真
[03:11] 那这也是我第一次在整个行业
[03:15] 真正的去验证了仿真以及合成数据
[03:19] 他们并不是一个玩具
[03:21] 他们真正可以有效的
[03:23] 去支持到算法的演进
[03:25] 在这个之后呢
[03:27] 我去了这个英伟达
[03:29] 在英伟达负责自动驾驶仿真
[03:31] 其实也就是在英伟达的时间
[03:34] 也就是2021年
[03:35] 我刚加入我就发现了一个可能很颠覆我的一个认知
[03:39] 我发现在英伟达
[03:41] 他们就是在车端的这个芯片
[03:45] Aurene最大的客户
[03:47] 不是vmo和Cruze
[03:49] 而是魏小李
[03:51] 那这个给我的一个很大的一个震撼
[03:53] 让我意识到可能自动驾驶的下一代
[03:56] 不会在美国
[03:57] 不会在硅谷
[03:58] 而会在中国
[03:59] 那我必须要回国
[04:01] 所以其实刚刚加入英伟达六个月的时间
[04:04] 我就携家带口
[04:06] 回国
[04:07] 加入了蔚来
[04:08] 到蔚来去负责他的自动驾驶仿真
[04:11] 在这呢
[04:11] 我也特别感谢我的太太
[04:13] 他当时给我很大的一个支持
[04:15] 就抛弃了可能在美国的很多的
[04:18] 工作朋友经历
[04:20] 然后和我一块回国
[04:22] 那当然就是说
[04:24] 回国了以后我在未来
[04:25] 真正的去
[04:27] 从一个主机场的角度去实践这个仿真
[04:30] 把它搭建成了一套的这个数据闭环
[04:33] 可以支持到比方说
[04:35] 自动驾驶算法的
[04:37] 合成数据
[04:38] 训练
[04:38] 以及大规模的评测
[04:41] 和落地
[04:41] 那当然这个时候我也产生了很多的一个思考
[04:44] 就是说
[04:45] 仿真它到底
[04:46] 只是一个加速器的一个作用
[04:48] 是一个锦上添花的一个作用
[04:50] 还是说它是一个
[04:53] 更加偏第一性的
[04:54] 它是一个更加偏一个前提条件
[04:57] 我那个时候就越来越感觉到
[05:00] 自动驾驶可能仿真更多的是一个加速器
[05:04] 而对于
[05:05] 机器人
[05:06] 巨神智能
[05:07] 它可能更会是一个先决条件
[05:09] 有了这个思考了以后
[05:11] 特别是赶上了大模型
[05:14] 的这个演进
[05:14] 那么在2023年呢
[05:16] 我和我的连创严海波
[05:18] 一起
[05:19] 决定成立光轮智能
[05:21] 那其实出发点
[05:22] 就是希望用这个仿真
[05:24] 用合成数据
[05:25] 来加速机器人这个产业
[05:27] 为什么你刚毕业的工作经历会
[05:30] 相对其他人也更杂一些
[05:32] 你当时在寻找什么呀
[05:33] 很好的问题
[05:34] 我觉得其实我个人也在寻找
[05:36] 就是说
[05:37] 我能够对哪一个行业
[05:39] 对哪一件事
[05:41] 能够产生最大的一个贡献
[05:43] 这贡献可能不是一个
[05:44] 锦上添花
[05:45] 而是说
[05:46] 我真正可以
[05:47] 成为一个
[05:49] 前提条件
[05:50] 来真正改变一个行业
[05:52] 那我呢其实本科是学物理的
[05:54] 物理其实很难
[05:55] 我刚加入北大物理的时候是年级110名
[05:58] 我可能花了
[06:00] 三年的时间
[06:01] 每天晚上可能两点钟睡觉
[06:04] 包括这个寒暑假都没有回过家
[06:07] 都在学校
[06:08] 那最后可能是进了年级前五
[06:10] 那这个经历给我的
[06:12] 感受就是说第一
[06:13] 确实是这个通过努力
[06:15] 你确实是可以去
[06:17] 做得更好
[06:18] 但是第二的话呢
[06:20] 其实天赋还是最关键的
[06:22] 那我觉得我可能还是缺少了对物理的天赋
[06:25] 后来去金融呢也是看到了
[06:27] 当时可能
[06:28] 从物理从数学
[06:30] 走得最好的这些同学可能都去了金融这个行业
[06:33] 但是真正去读了博士了以后才发现
[06:36] 这个行业其实开始欠缺了一些创新
[06:39] 且对这个社会
[06:40] 可能没有太大的一个
[06:42] 从我角度来讲真正的一个贡献
[06:44] 那我希望更加投身到一个科技行业
[06:47] 那么去了科技行业了以后呢
[06:49] 其实我也是在寻找我最有
[06:51] 价值的地方
[06:52] 我认为从产品端来讲的话呢我特别希望去做一件事真正能让它有效的去落地
[06:58] 就是给用户来提升价值
[07:00] 但是呢其实做了一段时间又发现
[07:03] 这件事可能缺少了一些技术的难度
[07:07] 一些实质的挑战
[07:08] 不够颠覆性
[07:10] 所以确实是抱着这些的这个想法
[07:13] 我在不断的去寻找
[07:15] 那当然我觉得我最幸运的就是可能
[07:17] 从18年开始
[07:19] 我真正的找到了
[07:20] 我觉得最有意义的事情
[07:22] 且我认为它可能能够成为一个产品能够成为一个商业模式
[07:26] 那这个就是仿真
[07:28] 我记得我好像见过你的某一个师兄弟
[07:31] 应该也是北大物理系的然后他说你是很少见的在北大物理系读了本科
[07:35] 然后很快就去哥伦比亚读商学院的
[07:38] 你觉得你的特质跟你的同龄人有什么不一样的
[07:40] 我觉得
[07:41] 我的特质的话就是说
[07:43] 我可能希望做一件事要不然就不做
[07:47] 要做就能够做到最好
[07:49] 这个最好
[07:50] 是一个可能在
[07:52] 国际上能够做到第一名第二名或者说
[07:56] 除了我之外就没有人能够做得更好这样一个级别
[08:00] 另外呢就是说
[08:01] 我觉得还有一个特质就是
[08:03] 我比较希望去找一个区分度
[08:05] 去哥伦比亚大学商学院
[08:08] 其实一方面是因为我的学习
[08:10] 各方面可能确实是比较好
[08:12] 但是其实最主要的原因是我想清了我不适合做物理
[08:16] 那我其实觉得在那个时间点
[08:18] 和我的同龄人比的话我觉得可能
[08:21] 我的思考会更多一些
[08:22] 因为我不断的再去找就是说
[08:24] 我在哪一个方面
[08:26] 可能能够有真正的一个优势
[08:28] 能够与别人不一样
[08:29] 你找到了吗
[08:30] 我认为其实当时是没有找到
[08:33] 那我认为现在我找到了
[08:35] 其实我
[08:36] 没有讲的是我在本科的时候也创过业
[08:39] 哦
[08:40] 我在博士的时候也创过业
[08:41] 我在本科其实
[08:43] 经历更加复杂一些
[08:45] 在大三的时候
[08:46] 到了年纪前五了以后我就开始放飞了
[08:49] 因为我觉得就是这个
[08:51] 这个成绩足够
[08:53] 我来去出国申请一个名校
[08:55] 那后面的成绩就没有那么关键了
[08:58] 那这个时候我就在想那我缺失的是什么
[09:01] 我缺失的可能是
[09:03] 真正的这种社团的体验
[09:06] 国际的经历
[09:07] 因为我可能寒窗苦读
[09:10] 这个三年的时间
[09:11] 而我的同学们可能
[09:13] 就
[09:14] 都有各种各样的这个不一样的经历
[09:16] 那所以呢我就
[09:18] 当时就申请
[09:19] 去哥伦比亚大学去交换了一年
[09:22] 那在那一年其实是给我感受很深
[09:25] 当时是金融危机
[09:27] 那我确实
[09:28] 08年的时候那确实也是这个
[09:31] 感受到了很多不一样的这个世界
[09:33] 学到了很有意思的课程
[09:35] 交了很多的朋友
[09:36] 同时呢也让我看到
[09:37] 像我这样的人
[09:39] 很希望去有这种在本科出国的经历
[09:42] 那很有可能北大
[09:44] 清华
[09:45] 很多这种高校的
[09:46] 同学们他们也都希望有这样一个经历
[09:49] 能够在本科的时候更好地就感受一个这个世界
[09:53] 找到他们
[09:54] 下一步的方向
[09:55] 所以我当时就组织了这样一个
[09:58] 学习团
[09:59] 交流团
[10:00] 那么等于是在北大的时候当时就办了几次
[10:04] 那带了很多的这个同学们
[10:06] 当时这个出国到美国
[10:08] 包括其实在
[10:09] 博士的时候
[10:11] 我当时也有点闲不住
[10:13] 也创了个业
[10:14] 那在博士的时候呢
[10:16] 当时就是我养了一只狗
[10:19] 他的名字叫土豆
[10:20] 他是一个特别可爱的一只八哥
[10:23] 在他三个月的时候被查出来有这个心脏病
[10:27] 让我就很伤心
[10:28] 由于对他的这个爱
[10:30] 然后也由于就是说
[10:32] 跟很多的狗友去交流
[10:34] 我发现可能一方面为了土豆
[10:36] 一方面为了狗友这个社区
[10:38] 可能需要一个
[10:39] 一个应用
[10:40] 移动应用
[10:41] 来帮助大家更好的去维系
[10:44] 大家之间的关系
[10:45] 也让大家更好的去维系他们跟狗这样的一个关联
[10:49] 所以我当时就
[10:50] 下载了很多的App
[10:52] 可能下载了有500多个App
[10:54] 在我的手机上
[10:55] 然后一个一个的去尝试
[10:57] 自学
[10:57] 设计
[10:58] 自学
[10:59] 写代码
[11:00] 然后把这个App给开发出来
[11:02] 第一次科技创业
[11:03] 第一次科技创业
[11:04] 对然后作为一个狗友的应用
[11:06] 当时这个狗友应用其实还在北美是排名
[11:09] 可能是前三的狗友的社交应用
[11:13] 基本上都是五分的这个review
[11:15] 其实还是比较火的
[11:16] 但是呢我觉得一个问题就是
[11:18] 我当时其实没有去思考商业模式
[11:21] 所以做完了以后其实也很难去商业化
[11:24] 其实当时有几个硅谷的VC
[11:26] 给我这个term sheet
[11:28] 希望给我这个投资
[11:30] 但是呢
[11:30] 当时我也接近这个博士的毕业
[11:33] 我想了想觉得还是算了
[11:35] 因为
[11:36] 可能这个确实也不是我
[11:38] 一生希望去
[11:39] 追求的一个方向
[11:40] 同时呢我觉得没有一个商业模式
[11:42] 我也不希望去
[11:44] 拿投资人的钱
[11:45] 去浪费他们的钱
[11:46] 也浪费自己的时间
[11:47] 所以我后来就把这个
[11:49] 公司给关掉了
[11:50] 做了多长时间啊这个公司
[11:51] 这个公司大概做了三年的时间
[11:53] 三年到博士毕业
[11:54] 到博士毕业
[11:56] 你前面
[11:57] 工作经历非常的窄是不是因为你一直在pass很多事情
[12:00] 你发现很多事情其实不适合自己
[12:01] 没错
[12:02] 其实我觉得
[12:03] 不同的人不一样我举个例子
[12:06] 我觉得可能巴菲特
[12:08] 和朗朗
[12:08] 他们很幸运
[12:10] 一方面我觉得他们很棒他们能力很强
[12:12] 一方面他们很幸运他们可能在10岁的时候
[12:15] 就找到了他们擅长什么
[12:18] 可能巴菲特在10岁的时候发现他特别喜欢股票
[12:21] 他也擅长投资
[12:22] 朗朗可能在10岁的时候发现他擅长弹钢琴
[12:26] 我觉得我其实花了很多的时间发现自己不擅长什么
[12:31] 我必须得去通过试错才能知道自己不擅长什么
[12:34] 但是我可能就没有那么幸运
[12:36] 我可能花了很长的时间
[12:38] 才真正
[12:38] 发现自己擅长什么
[12:40] 擅长的是
[12:41] 我认为我擅长的是
[12:43] 基于一个更加颠覆性的技术科技
[12:47] 打造一个产品
[12:49] 并且用这个产品去真正的支撑一个产业
[12:52] 我觉得这个是我擅长的
[12:54] 为什么你最后选择在仿真这个领域
[12:57] 算是深根吧
[12:58] 而且很快从去了英伟达只有六个月
[13:01] 然后就加入了蔚来
[13:02] 其实你后面换的其实也挺快的
[13:04] 就是在每个公司工作时间都不久
[13:06] 是的我觉得首先呢
[13:08] 是我相信仿真的魔力
[13:10] 这个其实是我当时去
[13:12] Cruise的时候发现的
[13:14] 在我
[13:15] 去
[13:16] 领导Cruise的仿真之前
[13:18] 实话实说仿真是一个玩具
[13:20] 或者说呢他更多的是Cruise
[13:23] 给投资人
[13:24] 展示的一个demo tool
[13:25] 那么他其实是用这个游戏引擎
[13:28] 用这个比较传统的这套的这个技术美术
[13:32] 去打造了这个看起来很真的一个世界
[13:35] 车
[13:36] 然后用它去生成了很大量的数据
[13:38] 但是这个数据呢其实
[13:40] 算法的团队比方说当时感知的团队
[13:43] 并没有办法有效的去用到它
[13:46] 或者说其实用了以后其实效果训练出来的模型的效果是
[13:49] 降低的而不是升高的
[13:51] 其实CEO也比较卷的一个人他叫Cal
[13:54] 他比较卷的一个人
[13:55] 他拉我过来就是
[13:56] 希望让我去解决这个问题
[13:59] 当时给我的时间可能是三个月的时间
[14:02] 那当时其实压力也比较大
[14:04] 第一步其实
[14:05] 我可能跟别人不一样就说我的背景
[14:08] 比较复杂一些我既有物理的背景
[14:10] 我有量化
[14:11] 我还有AI的背景
[14:12] 所以我第一步做的事其实不是去提升仿真
[14:15] 而是去评价仿真
[14:17] 得到了一套评价的准则了以后第二步才真正的用
[14:20] 生成式AI
[14:22] 以及仿真的一个结合真正的去提升它
[14:24] 那同时与算法有效的去迭代
[14:27] 真正的去
[14:28] 把这个数据喂到了算法了以后
[14:30] 真正看到了一个提升
[14:32] 这个点是我真正的看到的一个
[14:35] 很特殊的一个时间点
[14:37] 它让我真正的相信了这件事
[14:40] 那当然
[14:41] 我当时为什么去英伟达是因为
[14:43] 当然一方面就是说英伟达
[14:46] 老黄他们确实看到了我在
[14:48] 自动现场仿真做的不错
[14:49] 那他们确实在找这样一个负责人
[14:52] 但是第二呢就是说
[14:54] 从我的角度其实我也在
[14:56] 我也在不断的给自己
