[00:04] 我应该是公司第一个离职的人
[00:06] 第一个离职创业的人
[00:08] 后来自己出去创业还挺多的
[00:10] 对 公司的离职流程
[00:12] 就是从我那个时候开始有的
[00:14] 所以我经常跟朋友讲
[00:19] 大家都应该给Mainas磕一个
[00:22] 大家都是受到Mainas的庇佑
[00:28] AI生成系统和现在这些AI推荐系统
[00:36] 你觉得它的本质区别是什么样
[00:37] 没有中间商赚差价
[00:41] 现在的中间商是谁
[00:43] 现在的中间商
[00:45] 其实所有的互联网平台都是中间商
[00:52] Hello 大家好
[00:57] 欢迎收听张小骏商业访谈录
[00:59] 我是小骏
[01:00] 这是一档由语言及世界工作室出品的深度访谈节目
[01:04] 我们希望和你一起从这里探索新世界
[01:08] 今天的嘉宾是一位创业者
[01:10] 是One2X的联合创始人兼CEO王冠
[01:13] 他们现在的产品是AI的视频生成器
[01:16] MyDew
[01:17] 王冠是一名产品经理型的创业者
[01:20] 我和他认识了很长时间
[01:21] 但是他刚从Kimi离职出来创业
[01:24] 此前他是Kimi的模型产品负责人
[01:27] 哦对了
[01:28] 上一个Kimi的产品经理离职创业来我们节目的是明超平
[01:33] 除了AI时代的应用型公司要怎么做产品
[01:37] 怎么搭组织之外呢
[01:38] 由于我也是一名内容创作者
[01:40] 所以我也很好奇地与他讨论了许多
[01:43] 关于新时代的内容平台
[01:46] 生成系统
[01:47] AI创作者与平台权力分配的话题
[01:50] 那2025年的最后
[01:52] 期待我们和AI共同进步
[01:55] 哈喽王冠
[02:01] 先给听众朋友们打个招呼
[02:02] 并且做一个简单的自我介绍
[02:03] 哈喽
[02:04] 这个大家好
[02:06] 我是王冠
[02:07] 我是One2X的联合创始人
[02:09] 之前一直在做AI产品经理的工作
[02:11] 我们这个播客也是约了很长时间
[02:14] 能不能先介绍一下One2X
[02:15] OK
[02:16] One2X是
[02:19] 我们把它定位是一个
[02:21] AI时代的产品工作室
[02:23] 这边有两层含义
[02:25] 一层含义是AI时代
[02:27] 因为我们相信AI技术的发展
[02:30] 它会带来和之前软件还有互联网
[02:32] 完全不一样的产品体验
[02:35] 还有商业模式
[02:36] 对所以也意味着说
[02:37] 未来信息商品的生产分配和供给
[02:40] 可能会出现非常大的变化
[02:42] 那我们希望在这样的变化里面
[02:44] 能够以一个以产品为核心
[02:46] 一个工作室的方式
[02:48] 来去探索一些好玩的产品
[02:49] 为什么你们叫工作室
[02:51] 不叫公司
[02:51] 叫studio
[02:52] 对其实工作室是一个
[02:54] 很像实验室一样的概念
[02:57] 它可能相比于公司
[02:59] 它的探索性会更强
[03:00] 并且在组织形式上面
[03:02] 它会更以
[03:03] 比如兴趣
[03:05] 然后比如说产品的质量效果
[03:08] 而非是简单的商业来去作为目标
[03:11] 对所以它对于人的这个要求
[03:14] 可能也会不一样
[03:15] 比如我们会希望说
[03:16] 工作室里面的每一个人
[03:18] 他都是能够独当一面的
[03:19] 每一个人
[03:21] 应该是一个我们今天所谓叫超级个体
[03:23] 但在1toX内部
[03:24] 可能我们来称为叫AI全站工程师
[03:26] 相当于每一个人在公司内
[03:29] 他都是有一个独一无二的位置
[03:32] 他有自己加入这个组织的目标
[03:35] 对并且把自己的兴趣和工作内容
[03:37] 能够结合起来
[03:38] 所以这个是我们认为
[03:39] 它可能和传统的公司会不太一样
[03:42] 所以我们觉得它很像一个工作室
[03:44] 谢谢梁耀你过去吧
[03:45] 你是怎么成为大模型的产品经理
[03:47] 然后开始在AI的浪潮下创业的
[03:51] 我其实是一个比较草根的创业者
[03:55] 草根的意思是
[03:56] 可能没有那么多很鲜明的标签
[03:59] 对我是从大数据这个时代
[04:03] 开始做AI产品经理的
[04:05] 可能是10年代
[04:07] 对10年代
[04:09] 就是国内的AI
[04:11] 其实我会把它分为三个大的阶段
[04:14] 第一个阶段
[04:15] 其实是以大数据和传统机器学习
[04:17] 为核心的这个时代
[04:19] 对那个时候可能
[04:21] 大家都听过经典的例子
[04:22] 叫这个沃尔玛超市里面
