[00:02] 就在京都在鸭川边上
[00:04] 有一天没睡着觉
[00:06] 我就自己一个人跑到鸭川边
[00:08] 那里坐着
[00:09] 那里很美
[00:10] 对对对很美
[00:11] 我从夜里两点一直坐到凌晨五点
[00:13] 就拿了一罐啤酒在那坐着
[00:15] 那天做了很多
[00:16] 想了很多事情
[00:17] 做了一些很重要的决定
[00:19] 就我今天回过头去看这个东西的话
[00:23] 会有一个很深刻的感觉
[00:25] 就是互联网产品设计
[00:27] 和AI Native产品设计
[00:28] 真的是有一个很重要的范式变化
[00:31] 你在大厂属于很会往上爬的那种人吗
[00:36] 哈喽大家好
[00:50] 我是小骏
[00:51] 过去两年
[00:52] 张月光仿佛消失了
[00:54] 这位产品经理在2023年
[00:57] 创造过妙鸭这样的现象级的AI产品
[01:00] 但是在妙鸭走红后
[01:02] 仅三个月
[01:03] 他便从阿里巴巴辞职
[01:04] 他说
[01:05] 这源于他独自在日本京都的鸭川边
[01:08] 做了一夜
[01:09] 想清楚了许多重要的人生决定
[01:12] 2024年初
[01:14] 张月光惆怅
[01:15] 做资金创立牧言治语
[01:17] 这家公司成为那年
[01:19] AI应用型公司里
[01:21] 融资额最高的初创公司之一
[01:24] 有人说
[01:25] 投资人在没有产品的情况下
[01:27] 对他忙住了四轮
[01:29] 累积金额近三亿元人民币
[01:31] 也有人开玩笑
[01:32] 说张月光是拿着融资额的利息
[01:35] 在养公司
[01:36] 过去两年
[01:38] 我和张月光见了很多次
[01:40] 他在尝试的产品形态
[01:42] 每一次都有一些变化
[01:43] 他也并不掩饰自己的困惑
[01:45] 谈言的确有一段时间
[01:47] 看不懂
[01:48] 转折来自于半年以前
[01:50] 一位失成于互联网时代的产品经理
[01:54] 当他转向AI
[01:55] 会经历怎样的试错与求索
[01:57] 又要跨越哪些重要的认知鸿沟
[02:00] 让我无比意外的是
[02:02] 张月光说
[02:03] 他后来才意识到
[02:04] 尿压根本不是一个AI Native的产品
[02:07] 牧言治语
[02:09] 现阶段正在做的有两款主力产品
[02:11] 分别是AI英语游戏新年
[02:13] 和即将要推出的Agent产品
[02:15] Docky
[02:16] 他说
[02:17] 他的探索期结束了
[02:19] 他终于找到那个他愿意
[02:21] 集公司之合力下注的东西
[02:24] 那接下来是我对张月光的访谈
[02:27] 期待2026年
[02:28] 我们和AI共同进步
[02:31] hello 月光
[02:47] 先给听众朋友们打个招呼
[02:48] 并且做一个简单的自我介绍
[02:50] 好 大家好
[02:51] 我叫张月光
[02:53] 我从过去12年
[02:55] 一直在做产品经理相关的工作
[02:57] 先后在一些大厂
[02:58] 比如字节 阿里工作过
[03:00] 然后
[03:01] 大家相对比较了解我的工作
[03:02] 可能是23年
[03:04] 我做了一款VR相机
[03:06] 后来我在24年初开始出来创业
[03:09] 创办了一家公司
[03:10] 名字叫梦魇之语
[03:12] 然后过去两年
[03:13] 我们做了两个业务方向
[03:15] 一个业务方向是在探索AI游戏这块
