[00:05] Hello大家好,我是小骏
[00:07] 今天给大家带来的是全球大模型季报的第九集
[00:11] 这一集的情绪十分的复杂
[00:14] 一方面,你会看到正在急速进化的AI革命
[00:18] Coding把AI从聊天机器人Charbot的第一幕
[00:22] 推向了能够干活的Agent第二幕
[00:25] 研究员们已经开始不再亲自写代码了
[00:29] 广密带来的核心判断是
[00:31] Coding是新的AI加速器
[00:33] 正在加速AGI的实现
[00:35] 领先的Coding模型就会像领先的GPU
[00:38] 那另一方面,社会层面随之进入了
[00:42] 白领通缩与失业的窗口期
[00:44] 整个社会准备好了应对
[00:46] 这么急速变化的AI革命了吗
[00:48] 2026年,期待我们和AI共同进步
[00:52] 你相不相信Code可以表达数字世界的绝大多数任务
[01:01] 因为自然语言是对世界的描述
[01:04] Code是对Solution的描述
[01:07] 就是语言及世界
[01:09] 代码及方案
[01:10] 如果领先的模型公司不重视Coding
[01:16] 它大概会掉出第一梯队的
[01:18] 对,我觉得硅谷预算家过去三年
[01:23] 有时候你觉得OpenAI无敌
[01:25] 三四个月前又觉得Gemini王者归来
[01:29] 今天是Azure Peak春风得意
[01:31] 我是感觉每个公司都有自己的窗口吧
[01:34] 各领风骚一百天
[01:35] 今天胜利的秘籍可能就是下个时代的毒药对吧
[01:41] OpenAI在拆掉GTT过于成功
[01:44] 让它们专注2C而忽视了Coding
[01:47] 那今天这里是全球大模型季报的第九集
[02:04] 过去三年我和广秘一直在用季报的形式
[02:07] 记录着大模型的技术进步和趋势走向
[02:11] 从2023年到2026年
[02:13] 一直追踪我们的听众会发现
[02:15] 很多季报里的内容都慢慢变成了现实
[02:18] 那最近感受最深的就是我们去年季报里
[02:21] 一直在说的Coding Coding Coding
[02:23] 今年就像海啸一般涌来了
[02:25] 感觉有点猝不及防
[02:26] 那站在2026年第一季度
[02:29] 广秘你有哪些突出的感受
[02:32] 能不能先带领我们感受一下本集季报的概览内容
[02:36] 过去一个季度变化实在太快了
[02:38] 希望我们季报传递一些最新的洞察和思考
[02:43] 帮大家更好的理解
[02:44] 也提前应对好AI海啸的冲击
[02:47] 今天主要聊几个方向
[02:50] 一个是给大家传递一些在硅谷的一些体感和观察
[02:55] 第二部分是
