[00:03] 我思考所有的人类的经济史的时候
[00:06] 因为你可以找各种各样的事情作为支点
[00:08] 对吧
[00:09] 就是每个人都可以支点不一样
[00:10] 但我当时就选择流量作为我的核心的支点
[00:13] 在我看来
[00:14] 所有的人类的历史
[00:16] 它本质上是一种某种程度的
[00:20] 你叫它流量也好
[00:21] 然后叫它移动也好
[00:22] 叫它连接也好
[00:23] 其实它本质上就是这样一个历史
[00:25] 只是人类历史在很长很长时间里面
[00:30] 最大的社交类产品就是城镇
[00:34] 就是为了让城市展开
[00:35] 这个城市有多少人
[00:36] 它就有多少DAU
[00:37] 你可以认为现在所有的优秀的互联网图贼产品
[00:42] 它都是一个个巨大的城镇
[00:45] 甚至是巨大的市场
[00:47] 就是相当于大可敌国的市场
[00:49] 本质上在人工智能时代
[00:53] 它其实引发了一轮新一轮的深层次的数字化
[00:57] 人类无论它是潜意识
[01:02] 还是怎么样的新的行为模式
[01:05] 总体上是不可预期的
[01:08] 将军一样
[01:09] 就是你最后你要成为你这个组织和制度的人格化的象征
[01:15] 就最后实际上用一个可能不一定精确的话说
[01:19] 只要你扮演那个CEO
[01:20] 不管你自己的本性是怎么样
[01:23] 哈喽大家好
[01:28] 欢迎收听张小俊商业访谈录
[01:30] 我是小俊
[01:31] 这是一档由语言级世界工作室出品的深度访谈节目
[01:35] 我们希望和你一起从这里探索新世界
[01:39] 再来
[01:40] 在前几集节目中
[01:41] 我们的年终回顾系列站在2025年之外
[01:44] 收录了金沙江朱孝虎
[01:46] 真格戴宇森
[01:48] Ultimate Capital Freda Dunn的声音
[01:50] 今天我们将延续这个系列节目
[01:53] 嘉宾是红杉中国合伙人郑庆生
[01:56] 郑庆生提供了一个更宏大的视角
[01:59] 他把时间尺度拉长到了20年
[02:02] 回看中国从互联网
[02:03] 移动互联网
[02:05] 到AI的三轮技术浪潮
[02:07] 又进一步
[02:08] 他把视角放进了一个更红
[02:10] 的经济史中
[02:11] 用流量革命来试图寻记下一代2C流量节点的端倪
[02:17] 很巧的是他是2005年入行风险投资行业的
[02:20] 今年是他做投资人的20年
[02:23] 在投资人的本职工作以外
[02:25] 他也是一名新产品体验官
[02:28] 一位经济史爱好者
[02:34] Hello 秦深老师
[02:35] 先给听众朋友们打个招呼
[02:36] 并且做一个简单的自我介绍
[02:38] 大家好 我是郑庆生
[02:40] 红杉中国的合伙人
[02:42] 目前主要看这个科技和早期的投资
[02:44] 最近几年我们是聚焦在AI
[02:47] 包括大模型 Agent
[02:48] 还有AI相关的智能硬件
[02:51] 在开始之前我也想插入一个广告
[02:55] 因为红杉其实一直非常非常重视早期的投资
[03:00] 我们的所有早期投资
[03:02] 其实在我们的项目里面占了相当大的比例
[03:06] 尤其是我们作为第一轮的投资人
[03:09] 第一轮的机构投资人
[03:10] 这个项目的比例在我们总项目比例当中
[03:13] 已经占到了一半以上
[03:14] 我想这个
[03:15] 开始的时候我可以跟大家先
[03:17] 这个报告一下
[03:18] 也算是一个硬广
[03:20] 之前大家聊到红杉的时候
[03:21] 还是会觉得他是一个中后期的投资方对吧
[03:24] 为什么会发生这样一个转变
[03:25] 为什么要投得更早了
[03:26] 其实红杉从
[03:28] 最早开始05年开始我们一直是
[03:31] 非常非常重视早期的
[03:33] 早期的比例一直很高
[03:34] 只是
[03:35] 只是我们通常在这个成长期的投资也
[03:38] 比较成功
[03:39] 所以说很多人有这个印象
[03:40] 包括我们基金的这种盘子比较大
[03:42] 但实际上
[03:43] 我们一直是
[03:44] 非常重视早期投资的
[03:45] 18年之后我们特地成立的这个红杉中国的这个种子基金之后
[03:50] 我们这个特点就更明显
[03:51] 所以我就说我们会考察我们作为第一个机构投资人的这个投资
[03:56] 我们开始我想先聊聊你个人啊
[03:58] 因为你的投资生涯非常的长
[03:59] 你的职业生涯恰好是中国风投开始的时候
[04:02] 是2005年
[04:04] 然后在此之前你还做过审计
[04:05] 在过IBM在过币博管理咨询
[04:08] 然后后来又到盛大做站头
[04:10] 之后到了智信资本和红杉
[04:13] 能不能给大家
[04:14] 完整的讲讲你的整个职业生涯
[04:16] 你是怎么走上投资这条路的
[04:18] 对这其实挺有意思
[04:20] 我这里想
[04:22] 就是
[04:22] 分享我一直一个想法吧
[04:24] 就是说
[04:25] 因为我之前其实做过不少的这个职业
[04:28] 有过一些体会
[04:29] 但后来我发现
[04:30] 就好这个就怎么说呢
[04:32] 就尽管我是个很理性的人
[04:34] 但是呢就有点像一切都有点
[04:36] 冥冥中注定的感觉
[04:38] 有一次呢我跟那个
[04:40] 我们一波CEO
[04:41] 开玩笑让大家说这个
[04:44] 自己最早学习编程的那个
[04:46] 年份
[04:47] 然后那天我也正好参加了这个回答
[04:50] 然后我的回答大家都比较吃惊
[04:52] 我是1984年学习编程的
[04:54] 哦这么早
[04:55] 对
[04:56] 那年因为我父亲是个程序员
[04:59] 比如现在话说是个程序员
[05:00] 所以
[05:01] 84年的时候他当时
[05:03] 因为他自己的那个工具是一个下谱的
[05:06] 一个很小的一个
[05:07] 一个电脑
[05:08] 就是
[05:09] 然后呢当时我就在他那个电脑上开始学习Basic编程
[05:12] 这个很有意思我去查了很长时间
[05:14] 很多硅谷的大佬可能也就是在
[05:16] 那时候开始
[05:18] 学编程当时我还记得
[05:19] 我还因为当时有一本编程书
[05:22] 其实我没有什么编程水平啊
[05:24] 就是我就抄
[05:25] 抄那本书上有一些
[05:27] 有意思的这个例子
[05:28] 特别是抄一些
[05:30] 比如说一些什么跳青蛙的一些游戏
[05:33] 那时候我觉得很有意思就是
[05:35] 现在做了人工智能呢就我回头看
[05:37] 那时候我当时还去编有一种叫人机对话
[05:41] 但那时候人机对话实际上就是
[05:43] 你想一些小窍门比如说你出现那个词
[05:46] 我就会怎么回答你
[05:47] 你出现另外一些词比如有一些否定我会怎么回答你
[05:51] 其实它是
[05:52] 并不是任何意义上的这个智能
[05:55] 但是会很有意思
[05:56] 因为你编出一个小的程序
[05:58] 然后你跟他说一些简单的话然后他就回答你
[06:01] 或者你拿他去跟
[06:02] 自己的同学看一看你就觉得很有意思
[06:04] 这时候你多大
[06:05] 我当时就上小学刚上小学不久
[06:08] 刚上小学开始去编程
[06:09] 但是我实际上是没有任何
[06:11] 我的理工科天赋是不好的所以说
[06:13] 我主要还是编这个文科的天赋
[06:16] 所以后来也就并没有继续下去
[06:19] 但我就说这个事其实
[06:22] 对我还是有一个比较大的
[06:24] 比较大的一个影响吧
[06:25] 然后后来呢
[06:27] 后来我是进到这个大学
[06:30] 进大学我学经济学
[06:31] 然后
[06:32] 那几年正好是因为我是
[06:35] 上大学的时候就正好是中国
[06:37] 刚刚加入这个
[06:39] 刚刚应该是就加入当时还叫官报总协定
[06:42] 然后后来
[06:43] 被WTO取代
[06:45] 所以当时是正在做那个谈判
[06:47] 整个那个谈判过程我印象
[06:49] 看新闻印象很深
[06:50] 但是的确我今天回头看就是说
[06:53] 我的主要的这个求学工作生涯其实
[06:56] 生活在中国加入WTO之后的这些年
[06:59] 然后包括这个创业
[07:01] 所以
[07:02] 我也觉得很
[07:03] 就很有意思我依旧很清晰的记得那段时间
[07:06] 所以这个你看
[07:07] 也是另外一个
[07:09] 怎么说呢就是可能我工作生涯的一个时代烙印吧
[07:12] 再往后有几件事情其实
[07:16] 后面也是
[07:17] 对我还是有影响
[07:19] 当时呢是
[07:20] 我第一次上网是96年
[07:23] 96年当时呢因为我在复旦当时复旦
[07:26] 举办了一个这个教大家怎么上网那个讲座
[07:29] 然后差不多从那时候开始复旦有了这个校园BBS
[07:32] 然后我一度还是
[07:34] 我们经济学院的版主
[07:35] 那时候开始就频繁的这个去
[07:39] 去到机房上网那时候到机房上网
[07:41] 对
[07:42] 然后到96年到98年的时候
