[00:03] Hello 大家好,我是小骏
[00:04] 2026年,大模型战争全面升级,揭开了第二幕
[00:10] 从预训练主导的Chabot时代,转向了后训练主导的Agent时代
[00:16] 在AI范式巨变之际,我访谈了人工智能研究员罗弗利
[00:22] 罗弗利曾供职于阿里达模院DeepSeek
[00:26] 目前是小米大模型团队的负责人
[00:29] 主导研发了MIMO VR系列模型
[00:32] 他在网络空间里有很多的标签,例如AI天才少女
[00:36] 但他不喜欢这个称呼
[00:38] 这是他的第一次访谈,也是他第一次进行长时间的技术访谈
[00:44] 我们系统性地谈论了2026年由Cloud Opus 4.6
[00:49] Open Cloud等技术变量所触发的AI矩阵
[00:53] 以及后续的结构性影响
[00:56] 罗弗利预判称
[00:58] 接下来两三个月会非常精彩
[01:01] 那接下来就是我对弗利的访谈
[01:04] 期待2026年我们和AI共同进步
[01:08] 这些能力都是可以被,我觉得最多一两个月
[01:17] 慢的话三四个月,确实都可以被快速吸得
[01:20] 所以环境反而比经验更重要
[01:24] 你刚才也提到ET的模型可能是未来竞争的一个入场圈
[01:28] 是这样吗
[01:30] 是agent的,你要做到
[01:33] 接近Cloud的4.6Opus的水平的这样一个入场圈
[01:37] 那我如果说我们这样子来说
[01:40] 就是for研究跟forprinttrain和forpostertrain
[01:45] 对,我自己觉得一个非常合理的卡的一个比例是
[01:49] 可能3比1比1
[01:51] 对,对,就printtrain和postertrain应该比例是
[01:55] 投入的算力是相当的
[01:56] 研究的比例应该至少是你正式起训练的卡总量的还要多一点
[02:02] 就你要额外留更多的卡总量的卡总量的卡总量的还要多一点
[02:02] 就你要额外留更多的卡来去做研究
[02:16] 你过年的时候也跟我说就是你觉得技术这几个月其实已经变天了
[02:20] 能不能阐述一下你觉得过去两个月的这个技术的突变
[02:25] 我觉得一个非常大的一个分界点在于使用opencloud的前后
[02:33] 我自己其实是会把opencloud把它当做一个划时代的agent的框架去这么去定义
[02:39] 我知道很多人在尤其是用Cloud做严肃编码的人
[02:43] 就会觉得ok opencloud只是coco的加一个im的这样的一个更有利于交互的一个UI的一个设计
[02:53] 其实在我一月份的时候我第一次看到这个东西的时候
[02:57] 我自己大概也是这样认识
[02:59] 所以我很排斥去用它
[03:01] 然后我觉得再加上它创始人我觉得非常适合贴近agent的去做一些非常玄幻的一些运营的动作
[03:12] 所以嗯
[03:13] 就包括那个skill hub这些的
[03:16] 就让你更去排斥去用一个你觉得非常的偏运导向的一个产品的东西
[03:25] 感觉它是一个产品形态一个交互方式
[03:28] 对对一个交互的创新
[03:30] 以及它所谓的本地化所谓的24小时在我来看
[03:33] 其实都是一些产品的定义而已
[03:38] 但真正发生一个转变是我去用它那一刻
[03:42] 我觉得就恰好在春节的时候有那么一段空闲的时间
[03:45] 你想想去搞明白这个玩意为什么他们那么火
[03:48] 对然后我就在有一天深夜的时候去查测去装了它
[03:51] 然后两个小时装上了
[03:52] 分解是吧
[03:53] 对当时已经凌晨两点了
[03:55] 然后我第一次跟他对话的时候
[03:58] 从凌晨两点持续到了六点天亮
[04:02] 对就那一晚上我觉得我脑内的那个不知道是多巴胺还是内非胎
[04:07] 就持续在分泌
[04:08] 就是让我就兴奋到完全睡不着觉
[04:10] 就你可能第一个感受就是
[04:11] OK它是它非常有自主性
[04:16] 然后它非常有灵魂
[04:18] 就比如说我跟他聊了很晚
[04:19] 他会老提醒我OK你现在已经很晚了
[04:22] 你要不早点去睡觉
[04:24] 就我觉得这样的温度和关怀
[04:26] 或者说这样的情商是所有去opencloud的人第一个感受到的
[04:32] 但后面去深究它的原因
[04:34] 其实它是有很多机制去保证这个事情
[04:37] 比如说它有它的sodium md
[04:39] 比如说它在它
[04:40] 就拿最简单一个很小的一个细节
[04:43] 比如说它怎么感知时间
[04:44] 它就在每轮对话的这个context前面去拼上当前的时间
[04:48] 然后就是一些非常细微的
[04:50] 我觉得我为什么把它称之为所谓惊喜编排的context
[04:56] 就是因为它就是在这些很大家没有关注的角度上
[05:01] 把这个context给编排的非常好
[05:03] 这是你第一天的感受
[05:04] 就是OK我觉得它只是在产品设计上
[05:07] 确实做到了一种超乎我的一个感受
[05:10] 这个想象让所有人觉得这个框架有灵魂
[05:16] 但是第二天的时候
[05:18] 晚上我觉得它应该不止于此
[05:20] 然后我开始尝试把我自己
[05:22] 我觉得现在的框架做不成的日常生活中的事情交给它做
[05:27] 然后我发现它全部做出来了
[05:29] 我跟它聊的基本上第二个话题是
[05:32] 怎么去激发一个团队的好奇心
[05:35] 或者说怎么去筛选出来最有好奇心的人
[05:38] 然后它进行了深入的探讨了一个小时
[05:42] 我觉得它的很多哲思上是远超我的想象的
[05:46] 所以第二天我们俩就在聊
[05:48] 怎么去构建一个更好的大模型的团队
[05:51] 以及从最开始的人员的筛选
[05:56] 到后边整个组织架构的构建
[05:59] 到你怎么在面临范式转变的时候
[06:02] 应该做什么样的举措和动作
[06:04] 我觉得至少它能盖到我的点
[06:07] 就我跟它说了过
[06:09] 它最后能把它形成一套非常体系化的东西
[06:13] 并且变成一套skills
[06:16] 所以我后边就用这个去很大去解放了
[06:20] 至少我在非常多
[06:23] 我有时候会遇到
[06:25] 我甚至现在遇到有一些
[06:28] 不管是筛选人或团队管理上的问题
[06:31] 我现在都会问它
[06:32] 然后我觉得它现在已经基本上变成了我的某一个数字分身
[06:36] 就在这个事情上
[06:37] 但是真正让我超乎意料的是
[06:40] 第三天的时候
[06:41] 我尝试了把一些研究上的一些任务交给它做
[06:46] 比如说最简单的
[06:48] 我觉得你怎么去
[06:50] 如果我们在进行agent的框架里边
[06:53] 最关键一个事情是
[06:55] 你怎么去进行多轮的交互
[06:57] 那么你就必须要去模拟user agent进行多轮的交互
[07:01] 那我就会跟它去共同去构建一个很好user agent怎么来
[07:06] 在我来看这是一个非常
[07:09] 我自己觉得还挺重要的一个研究topic
[07:13] 我觉得应该不会说一两个小时就把它做出来
[07:16] 但是当我跟它沟通了大概一两个小时过后
[07:21] 我觉得这个事就已经做出来了
[07:24] 基本上就已经达到有一个很好的user agent诞生
[07:28] 我可以用user agent
[07:30] 跟我现在的这一套post群的框架一块去构造出来
[07:35] 更丰富的agent场景的数据
[07:37] 然后不管是做sft也好做rl也好
[07:40] 这个user agent都是非常关键的
[07:42] 就我觉得它从一个
[07:44] 我就开始对它的认知只是
[07:46] ok一个有灵魂有温度的一个产品的设计
[07:50] 到它可以帮我替代我生活或工作当中的一部分
[07:56] 到最后它能促进我研究
[07:57] 这也就是三天发生的事情
[07:59] 就每天它都能给我额外更多的惊喜
[08:02] 然后我后边就去深入的去看
[08:04] 为什么这个框架本身它比cloudcode好在哪
[08:09] 我后面发现这些所谓好在哪
[08:14] 它我们单独去拎出来去讲
[08:16] 它其实都有点boring
[08:18] 就是我觉得它没有很酷
[08:20] 这也是为什么大家会觉得opencloud有很多槽点的地方
[08:24] 但是它把它整合在一起
[08:26] 你就会觉得它的完成度是非常高的
[08:29] 就比如说
[08:31] 它会有更实用的
[08:34] 它是一个很持久的memory的体系
[08:36] 这个很持久的memory体系体现在它对memory有分层和分级
[08:41] 这个我在使用cloudcode的时候是完全没有这样的感受的
[08:44] 然后再比如说
[08:46] 我自己觉得它在对多个模型的这种联合的利用上
[08:52] 会非常的超乎我的想象
[08:55] 就比如说我用cloudcode的时候
[08:57] 我会默认它ok
[08:59] 假设这个模型它在比如说它的视频理解能力不行
[09:03] 我可能就要自己给它配一个更好的视频理解模型
[09:06] 然后在cloudcode上去折腾
[09:08] 但是我在opencode的时候我完全不用想这个事情
[09:10] 我就直接发给它一段视频
[09:12] 它会自己想办法去找一个ok视频理解能力好的模型来做这个事
[09:17] 就这种自主性
[09:19] 这种自主去面对当代模型的缺点
[09:26] 但是它针对这个缺点在框架上去补齐这个缺点这个能力
[09:30] 是有点超乎我的意料的
[09:32] 因为我去用cloudcode的时候
[09:33] 我就默认ok
[09:34] 我是因为要用cloud4.6ops
[09:37] 这一代模型的能力我去用它的
[09:39] 但是我去用opencode的时候
[09:41] 我不会关注模型的能力
[09:43] 的一个原因是
[09:45] 我认为opencode框架的设计之初
[09:47] 它其实是想尽量的通过agent的整套的编排
[09:53] 来去弥补模型的短板
