[00:04] Hello 大家好,我是小骏
[00:06] 春节前后,一款AI Native的产品Elise
[00:10] 引起了小圈层人的关注
[00:12] 这是一款还在测试
[00:14] 尚且没有全面上线的AI社交产品
[00:17] 某种程度上,它展现了AI时代社交产品的一些雏形
[00:22] 打造赛博分身,分身替你去主动社交
[00:26] 再为你转换成真实世界的连接
[00:29] 那今天我邀请了这个产品背后的公司
[00:33] 自然选择创始人Tristan张小帆来聊聊
[00:36] 他们公司目前有两款产品
[00:39] 分别是AI游戏Eve和AI社交Elise
[00:42] 他们背后的精神内核都是
[00:45] 人类太孤独了
[00:47] 当时说实话,我那个项目本身也叫Project HER
[00:54] 其实就是要把电影里面的HER做出来
[00:57] 但是现在这个东西我也不敢讲
[00:59] 就是因为这个HER这个词其实已经脏掉了
[01:02] 所谓陪伴就是一个跟你超级对齐的人
[01:08] 陪你一起玩
[01:09] 陪你一起面对世界
[01:13] 所以你在欧洲是想清楚了什么
[01:15] 你觉得网络效应还是可以做的
[01:17] 我觉得我是想清楚context的流动吧
[01:22] 就是Elise我发的第一条帖子
[01:24] 那天晚上一两点发的
[01:27] 我说从此以后人类将生活在一个美好的低伤世界
[01:32] 低伤世界是很多的科幻小说里面很喜欢去写的
[01:36] 就那可能好像意味着一个更高级文明的
[01:39] 一个更美好的世界
[01:39] 因为那里面会有更少的摩擦
[01:42] 然后会有更妙的连接
[01:43] 那接下来就是我对Tristan的访谈
[01:51] 期待2026年我们和AI共同进步
[01:56] 那你还是先给大家打个招呼吧
[02:03] 哈喽大家好
[02:04] 我叫Tristan
[02:05] 我是自然选择的创始人
[02:07] 然后我们在做两款产品
[02:09] 一个叫EVE是一个AI陪伴产品
[02:12] 还有一个叫Elise是一个AI社交产品
[02:14] 我发现你很喜欢做这种情绪价值的产品
[02:17] 为什么呀
[02:17] 你能不能给大家先介绍一下你自己
[02:20] 对
[02:20] 可能做官物
[02:21] 做产品的整个的主线
[02:23] 好像我确实都一直在做这一类的产品
[02:25] 我前一段职业生涯是在做互联网产品
[02:28] 当时做了一些APP
[02:29] 然后有内容平台
[02:30] 有陌生社交
[02:32] 之后我就开始做恋爱游戏
[02:35] 可能恋爱游戏和陌生社交
[02:36] 它也都是想要去解决人类的孤单
[02:38] 一个是想通过真人
[02:39] 然后一个直接通过内容上的一个游戏
[02:42] 然后就到了EVE这个AI陪伴产品
[02:45] 那可能是更极致的来去解决人类的孤单
[02:48] 给人情绪价值的产品
[02:50] 对
[02:50] 然后到了现在的ELIS
[02:51] 那它也是通过AI来去促进真人和真人之间的连接
[02:57] 可能本身上也是要解决人类的孤独
[02:59] 被你证明说好像确实这是一个主线
[03:02] 你能不能展开一点
[03:04] 关于你的经历
[03:05] 关于我的经历
[03:06] 我其实毕业没多久就直接开始做互联网产品了
[03:10] 我当时在上海
[03:11] 然后毕业了一年多之后
[03:14] 其实就开始创业了
[03:16] 当时做的第一个产品是类似于
[03:19] 现在小宇宙
[03:20] 小宇宙
[03:20] 小宇宙
[03:20] 或者是喜马拉雅这样的一个音频的内容平台
[03:24] 当时应该也是第一款吧
[03:25] 对
[03:26] 因为我们上了之后很多类似于喜马拉雅这样的产品才上的
[03:29] 当时我只觉得就是说
[03:31] 听声音的这个场景
[03:32] 其实没有一个很好的产品去承载
[03:34] 以及当时过去大家还是听广播
[03:37] 其实当时还没有一个就是个性化分发音频的这样一个平台
[03:41] 所以当时做了下一个
[03:42] 大家能够去在上面只听自己想听的去订阅
[03:46] 当时其实没有这样一个产品
[03:47] 所以当时做了下一个音频内容平台
[03:50] 然后呢
[03:50] 那个创业持续了大概三四年
[03:52] 这种产品
[03:54] 它是比较内容密集性的产品吧
[03:56] 到最后你其实需要很多的钱去买版权
[03:58] 你需要去做内容
[04:00] 所以当时我们其实是没有去竞争过那些融了更多钱的公司
[04:04] 对
[04:05] 但当时确实我也很年轻
[04:06] 当时可能二岁出头
[04:08] 然后很多东西也不懂
[04:09] 确实很多东西私好也比较幼稚
[04:11] 后来又做了一些产品
[04:13] 做了一些陌生社交相关的
[04:15] 但是都没有那个产品那么大吧
[04:17] 对
[04:17] 当时那个产品也是融了几轮
[04:18] 可能那个时代的人
[04:20] 还是知道那款产品的
[04:21] 叫窄波
[04:22] 对
[04:23] 当然这个名字叫中二
[04:24] 也就是因为当时我们说我们要颠覆广播
[04:26] 并且它是个性化分发的
[04:28] 它是每个人只会听到自己想听的东西
[04:31] 所以它不应该是广的
[04:33] 它应该是窄的
[04:34] 所以它叫窄波
[04:35] 当然这个名字也并不是个很好的名字
[04:36] 就听起来没有那么
[04:38] 没有那么可爱
[04:39] 没有那么就
[04:39] 就传播性吧
[04:40] 哎呦你这么说
[04:41] 我突然想到一个问题
[04:43] 就是为什么在声音的这个轨道上
[04:45] 好像它没有被个性化分发非常充分的改造过
[04:49] 其实
[04:50] 我觉得之前的低维标签确实
[04:53] 它可能比较难以去分发音频
[04:55] 因为可能你之前对一个音频的描述
[04:57] 就是你的标题
[04:58] 然后你给它打一些标签
[04:59] 对吧
[05:00] 之前其实你没有办法对于长音频内容
[05:02] 做一个非常个性化的理解
[05:03] 因为在前AI时代的话
[05:06] 你其实只有低维标签的推荐了
[05:09] 对吧
[05:09] 所以其实我觉得在AI时代
[05:11] 倒是可以像你刚说的
[05:13] 能够对一个音频内容做一个很好的推荐
[05:16] 一个很高位的推荐
[05:17] 因为其实比如说咱们俩聊天
[05:19] 聊完之后
[05:19] 可能有几十万token
[05:21] 那这几十万token其实能够被很好的
[05:24] 被骚扰模型去理解
[05:25] 然后再去推荐给每一个人的
[05:27] 对
[05:28] 我觉得这个时代是有可能的
[05:30] 对
[05:30] 之前音频的问题也是在于说
[05:31] 它其实是一个黑盒
[05:34] 在你打开这个音频之前
[05:35] 其实你根本就不知道里面是什么
[05:37] 你的成本其实是很高的
[05:39] 所以其实那个博主本身
[05:41] 他如果没有很好的
[05:41] 你对他的理解和对他的背书
[05:43] 那其实音频是很难以被分发的
[05:46] 而且音频相对来说是更长的
[05:48] 然后它可被
[05:49] 标记的东西又比较少
[05:51] 它不像视频也不像文章
[05:53] 文章可能是最好被token化的
[05:55] 对
[05:56] 那其实音频我觉得也能很好的被token化
[05:59] 因为它只要准确文字
[06:00] 其实本质上也是一样的
[06:01] 它比视频还容易
[06:03] 对
[06:03] 经历过第一次并不成功的创业之后
[06:06] 你当时对自己的认知是什么样的
[06:08] 当时确实觉得可能自己还是犯了一些错误
[06:11] 比如说一些融资节奏
[06:12] 比如说我们在那个产品刚上的时候
[06:14] 其实我们热度还是很高的
[06:15] 而且圈链人是很多人在用的
[06:17] 当时的所谓的互联网一级市场二级市场
[06:19] 这些相对经营化的人群
[06:21] 大家是对获取信息的效率要求是很高的
